duration_seconds,fold,split,window_count,fms_mean,fms_std,fms_bin_0_5_count,fms_bin_5_10_count,fms_bin_10_15_count,fms_bin_15_20_count,prediction_bias,prediction_mae,prediction_rmse
10,0,train,153765,6.700783663382434,5.271461148565804,56746,53469,24716,18834,,,
10,0,test,38454,7.678394965413221,5.595880091037653,11791,13072,7645,5946,,,
10,1,train,153716,6.829926617918759,5.305145645664386,55358,52721,26573,19064,,,
10,1,test,38503,7.161571825572033,5.528350012674406,13179,13820,5788,5716,,,
10,2,train,153858,7.144620364231955,5.427775176124345,51657,53622,27164,21415,,,
10,2,test,38361,5.900628242225177,4.913482580357215,16880,12919,5197,3365,,,
10,3,train,153716,7.085521351062999,5.464973272146631,53713,52320,26430,21253,,,
10,3,test,38503,6.1411578318572575,4.8026253955161655,14824,14221,5931,3527,,,
10,4,train,153821,6.7208898654930085,5.272792566818497,56674,54032,24561,18554,,,
10,4,test,38398,7.59927600395854,5.604550517785011,11863,12509,7800,6226,,,
10,all,ridge_window_stats_test_predictions_0-5,68537,,,,,,,3.8068354451980024,3.8233638662585623,4.426969494123749
10,all,ridge_window_stats_test_predictions_5-10,66541,,,,,,,0.9119345829490778,2.336455908457251,2.7674188303844156
10,all,ridge_window_stats_test_predictions_10-15,32361,,,,,,,-3.450901807815555,3.55657655480638,4.292821390732369
10,all,ridge_window_stats_test_predictions_15-20,24780,,,,,,,-8.437027064557936,8.437027064557936,8.79032288835854
10,all,causal_tcn_linear_test_predictions_0-5,68537,,,,,,,3.801810448550933,3.818675377984071,4.424176169998321
10,all,causal_tcn_linear_test_predictions_5-10,66541,,,,,,,0.9131545582741613,2.3389696151684127,2.7702353532104445
10,all,causal_tcn_linear_test_predictions_10-15,32361,,,,,,,-3.4468080466077713,3.5516712804968242,4.289868707661907
10,all,causal_tcn_linear_test_predictions_15-20,24780,,,,,,,-8.431471578525683,8.431471578525683,8.784856926373845
30,0,train,141121,7.5117381537829235,5.360373412267314,43128,51610,25501,20882,,,
30,0,test,35346,6.918434900695977,4.927201170422262,11587,13106,6672,3981,,,
30,1,train,141087,7.1851694344624235,5.134773410926934,44587,52847,25796,17857,,,
30,1,test,35380,8.22128321085359,5.757288431962885,10128,11869,6377,7006,,,
30,2,train,141282,7.295451649891706,5.316400942032668,44884,52100,24618,19680,,,
30,2,test,35185,7.784197811567429,5.1218779805969294,9831,12616,7555,5183,,,
30,3,train,141122,7.620378112555094,5.364413031620574,42327,50307,26895,21593,,,
30,3,test,35345,6.48465129438393,4.832617530957215,12388,14409,5278,3270,,,
30,4,train,141256,7.351864699552586,5.2178637423238605,43934,52000,25882,19440,,,
30,4,test,35211,7.557524637187242,5.5278019204183195,10781,12716,6291,5423,,,
30,all,ridge_window_stats_test_predictions_0-5,54715,,,,,,,4.168813534521621,4.172190352700521,4.767350088572816
30,all,ridge_window_stats_test_predictions_5-10,64716,,,,,,,1.2045566515650685,2.3169741755381335,2.7577470567870943
30,all,ridge_window_stats_test_predictions_10-15,32173,,,,,,,-3.2053910846529727,3.2799304069601396,4.013116332442616
30,all,ridge_window_stats_test_predictions_15-20,24863,,,,,,,-8.17122810511255,8.17122810511255,8.501905473828373
30,all,causal_tcn_linear_test_predictions_0-5,54715,,,,,,,4.166443290223124,4.170069920264373,4.76559143194272
30,all,causal_tcn_linear_test_predictions_5-10,64716,,,,,,,1.2045292876936249,2.3191276150521682,2.7600040733957036
30,all,causal_tcn_linear_test_predictions_10-15,32173,,,,,,,-3.2045793370857134,3.279739353257637,4.013874851857043
30,all,causal_tcn_linear_test_predictions_15-20,24863,,,,,,,-8.169036092513927,8.169036092513927,8.500242712429863
60,0,train,121978,7.6169063273705095,5.264956253291841,34717,46679,22669,17913,,,
60,0,test,30347,9.00949022967674,5.281177728369964,5867,11026,7137,6317,,,
60,1,train,121720,7.664369043706868,5.111749454819536,33094,47245,24370,17011,,,
60,1,test,30605,8.808985459892174,5.891102750671428,7490,10460,5436,7219,,,
60,2,train,121809,8.014038371548901,5.387047968160969,31888,45991,23325,20605,,,
60,2,test,30516,7.416568357582907,4.894644990375346,8696,11714,6481,3625,,,
60,3,train,121820,8.254662616975866,5.467879521857822,31008,43836,24900,22076,,,
60,3,test,30505,6.4554335354859855,4.260096665467941,9576,13869,4906,2154,,,
60,4,train,121973,7.921892549990572,5.222405431049297,31629,47069,23960,19315,,,
60,4,test,30352,7.783638639957828,5.587617847758771,8955,10636,5846,4915,,,
60,all,ridge_window_stats_test_predictions_0-5,40584,,,,,,,4.732229424294774,4.735137815338042,5.288992229272632
60,all,ridge_window_stats_test_predictions_5-10,57705,,,,,,,1.6177103405978321,2.3557701582522768,2.7921721771961887
60,all,ridge_window_stats_test_predictions_10-15,29806,,,,,,,-2.8960741763456674,2.9950518319436124,3.6264250104450615
60,all,ridge_window_stats_test_predictions_15-20,24230,,,,,,,-8.179312213370082,8.179312213370082,8.505822774102343
60,all,causal_tcn_linear_test_predictions_0-5,40584,,,,,,,4.723815131042795,4.7264682962216265,5.28240994047331
60,all,causal_tcn_linear_test_predictions_5-10,57705,,,,,,,1.6176572539678387,2.361232283909293,2.7991324731627722
60,all,causal_tcn_linear_test_predictions_10-15,29806,,,,,,,-2.8940365897082896,2.9959068505235558,3.6309697152927143
60,all,causal_tcn_linear_test_predictions_15-20,24230,,,,,,,-8.168728809897477,8.168728809897477,8.496843997208352
