duration_seconds,raw_pa_id,session_uid,missing_dynamic_windows
60,PA16,PA16_Base_11_05_58_AM,381
60,PA15,PA15_Base_10_05_36_AM,380
60,PA10,PA10_Base_11_31_04_AM,337
60,PA118,PA118_Reverse_Optical_Flow_2_30_47_PM,335
60,PA115,PA115_Reverse_Optical_Flow_6_28_52_PM,335
60,PA21,PA21_Base_10_47_58_AM,335
60,PA20,PA20_Base_3_07_01_PM,335
60,PA100,PA100_Reverse_Optical_Flow,334
60,PA204,PA204_Noise_5_44_47_PM,334
60,PA109,PA109_Reverse_Optical_Flow_6_24_30_PM,334
60,PA203,PA203_Noise,334
60,PA19,PA19_Base_6_43_40_PM,334
60,PA210,PA210_Noise_2_21_19_PM,334
60,PA103,PA103_Reverse_Optical_Flow,333
60,PA106,PA106_Reverse_Optical_Flow_2_10_12_PM,333
60,PA119,PA119_Reverse_Optical_Flow_3_45_18_PM,333
60,PA207,PA207_Noise_12_14_12_PM,333
60,PA105,PA105_Reverse_Optical_Flow_10_34_44_AM,333
60,PA12,PA12_Base_3_06_37_PM,333
60,PA219,PA219_Noise_4_05_37_PM,333
60,PA2,PA2_Base,333
60,PA107,PA107_Reverse_Optical_Flow_5_49_54_PM,333
60,PA211,PA211_Noise_6_54_36_PM,333
60,PA3,PA3_Base,333
60,PA6,PA6_Base_3_06_55_PM,333
60,PA110,PA110_Reverse_Optical_Flow_6_47_18_PM,333
60,PA114,PA114_Reverse_Optical_Flow_3_06_11_PM,333
60,PA120,PA120_Reverse_Optical_Flow_10_09_43_AM,333
60,PA212,PA212_Noise_10_38_52_AM,333
60,PA216,PA216_Noise_7_29_01_PM,333
60,PA4,PA4_Base_4_37_58_PM,333
60,PA9,PA9_Base_4_25_44_PM,333
60,PA18,PA18_Base_3_29_33_PM,333
60,PA220,PA220_Noise_5_22_13_PM,332
60,PA111,PA111_Reverse_Optical_Flow_7_01_35_PM,332
60,PA217,PA217_Noise_7_46_34_PM,332
60,PA108,PA108_Reverse_Optical_Flow_6_05_04_PM,332
60,PA11,PA11_Base_1_52_14_PM,332
60,PA14,PA14_Base_4_26_11_PM,332
60,PA202,PA202_Noise,332
60,PA209,PA209_Noise_4_44_14_PM,332
60,PA117,PA117_Reverse_Optical_Flow_11_44_23_AM,332
60,PA214,PA214_Noise_4_01_27_PM,332
30,PA15,PA15_Base_10_05_36_AM,296
30,PA16,PA16_Base_11_05_58_AM,296
30,PA100,PA100_Reverse_Optical_Flow,250
30,PA118,PA118_Reverse_Optical_Flow_2_30_47_PM,250
30,PA204,PA204_Noise_5_44_47_PM,250
30,PA211,PA211_Noise_6_54_36_PM,250
30,PA217,PA217_Noise_7_46_34_PM,250
30,PA103,PA103_Reverse_Optical_Flow,250
30,PA107,PA107_Reverse_Optical_Flow_5_49_54_PM,250
30,PA109,PA109_Reverse_Optical_Flow_6_24_30_PM,250
30,PA10,PA10_Base_11_31_04_AM,250
30,PA12,PA12_Base_3_06_37_PM,250
30,PA203,PA203_Noise,250
30,PA2,PA2_Base,250
30,PA105,PA105_Reverse_Optical_Flow_10_34_44_AM,250
30,PA106,PA106_Reverse_Optical_Flow_2_10_12_PM,250
30,PA108,PA108_Reverse_Optical_Flow_6_05_04_PM,250
30,PA114,PA114_Reverse_Optical_Flow_3_06_11_PM,250
30,PA11,PA11_Base_1_52_14_PM,250
30,PA14,PA14_Base_4_26_11_PM,250
30,PA207,PA207_Noise_12_14_12_PM,250
30,PA21,PA21_Base_10_47_58_AM,250
30,PA6,PA6_Base_3_06_55_PM,250
30,PA111,PA111_Reverse_Optical_Flow_7_01_35_PM,250
30,PA115,PA115_Reverse_Optical_Flow_6_28_52_PM,250
30,PA120,PA120_Reverse_Optical_Flow_10_09_43_AM,250
30,PA202,PA202_Noise,250
30,PA209,PA209_Noise_4_44_14_PM,250
30,PA214,PA214_Noise_4_01_27_PM,250
30,PA9,PA9_Base_4_25_44_PM,250
30,PA117,PA117_Reverse_Optical_Flow_11_44_23_AM,250
30,PA119,PA119_Reverse_Optical_Flow_3_45_18_PM,250
30,PA19,PA19_Base_6_43_40_PM,250
30,PA20,PA20_Base_3_07_01_PM,250
30,PA216,PA216_Noise_7_29_01_PM,250
30,PA3,PA3_Base,250
30,PA219,PA219_Noise_4_05_37_PM,249
30,PA210,PA210_Noise_2_21_19_PM,249
30,PA220,PA220_Noise_5_22_13_PM,249
30,PA212,PA212_Noise_10_38_52_AM,249
30,PA4,PA4_Base_4_37_58_PM,249
30,PA110,PA110_Reverse_Optical_Flow_6_47_18_PM,249
30,PA18,PA18_Base_3_29_33_PM,249
60,PA1,PA1_Base,218
60,PA215,PA215_Noise_7_07_09_PM,218
60,PA218,PA218_Noise_2_45_14_PM,218
60,PA104,PA104_Reverse_Optical_Flow,217
60,PA7,PA7_Base_1_07_38_PM,217
60,PA115,PA115_Reverse_Optical_Flow_5_40_37_PM,217
60,PA205,PA205_Noise_11_30_32_AM,217
60,PA208,PA208_Noise_1_06_53_PM,217
60,PA201,PA201_Noise,217
60,PA213,PA213_Noise_1_25_40_PM,217
60,PA112,PA112_Reverse_Optical_Flow_11_23_37_AM,216
60,PA13,PA13_Base_3_19_26_PM,216
60,PA17,PA17_Base_2_06_00_PM,216
60,PA206,PA206_Noise_11_05_15_AM,216
30,PA218,PA218_Noise_2_45_14_PM,190
30,PA17,PA17_Base_2_06_00_PM,190
30,PA1,PA1_Base,190
30,PA206,PA206_Noise_11_05_15_AM,190
30,PA208,PA208_Noise_1_06_53_PM,190
30,PA7,PA7_Base_1_07_38_PM,190
30,PA215,PA215_Noise_7_07_09_PM,190
30,PA115,PA115_Reverse_Optical_Flow_5_40_37_PM,190
30,PA201,PA201_Noise,190
30,PA112,PA112_Reverse_Optical_Flow_11_23_37_AM,190
30,PA13,PA13_Base_3_19_26_PM,190
30,PA205,PA205_Noise_11_30_32_AM,190
30,PA213,PA213_Noise_1_25_40_PM,189
30,PA104,PA104_Reverse_Optical_Flow,189
10,PA120,PA120_Reverse_Optical_Flow_10_09_43_AM,177
10,PA105,PA105_Reverse_Optical_Flow_10_34_44_AM,172
10,PA108,PA108_Reverse_Optical_Flow_6_05_04_PM,172
10,PA207,PA207_Noise_12_14_12_PM,172
10,PA111,PA111_Reverse_Optical_Flow_7_01_35_PM,172
10,PA2,PA2_Base,172
10,PA204,PA204_Noise_5_44_47_PM,172
10,PA217,PA217_Noise_7_46_34_PM,172
10,PA6,PA6_Base_3_06_55_PM,172
10,PA114,PA114_Reverse_Optical_Flow_3_06_11_PM,172
10,PA117,PA117_Reverse_Optical_Flow_11_44_23_AM,172
10,PA119,PA119_Reverse_Optical_Flow_3_45_18_PM,172
10,PA103,PA103_Reverse_Optical_Flow,172
10,PA3,PA3_Base,172
10,PA203,PA203_Noise,171
10,PA109,PA109_Reverse_Optical_Flow_6_24_30_PM,171
10,PA214,PA214_Noise_4_01_27_PM,170
10,PA202,PA202_Noise,170
10,PA11,PA11_Base_1_52_14_PM,169
10,PA20,PA20_Base_3_07_01_PM,168
10,PA14,PA14_Base_4_26_11_PM,167
10,PA9,PA9_Base_4_25_44_PM,167
10,PA12,PA12_Base_3_06_37_PM,166
10,PA212,PA212_Noise_10_38_52_AM,164
10,PA118,PA118_Reverse_Optical_Flow_2_30_47_PM,163
10,PA15,PA15_Base_10_05_36_AM,160
10,PA16,PA16_Base_11_05_58_AM,159
10,PA7,PA7_Base_1_07_38_PM,157
10,PA209,PA209_Noise_4_44_14_PM,155
10,PA18,PA18_Base_3_29_33_PM,155
10,PA106,PA106_Reverse_Optical_Flow_2_10_12_PM,152
10,PA10,PA10_Base_11_31_04_AM,152
10,PA110,PA110_Reverse_Optical_Flow_6_47_18_PM,152
10,PA17,PA17_Base_2_06_00_PM,152
10,PA201,PA201_Noise,152
10,PA205,PA205_Noise_11_30_32_AM,152
10,PA216,PA216_Noise_7_29_01_PM,152
10,PA208,PA208_Noise_1_06_53_PM,152
10,PA115,PA115_Reverse_Optical_Flow_6_28_52_PM,151
10,PA210,PA210_Noise_2_21_19_PM,151
10,PA215,PA215_Noise_7_07_09_PM,151
10,PA211,PA211_Noise_6_54_36_PM,151
10,PA218,PA218_Noise_2_45_14_PM,151
10,PA219,PA219_Noise_4_05_37_PM,151
10,PA21,PA21_Base_10_47_58_AM,151
10,PA220,PA220_Noise_5_22_13_PM,151
10,PA4,PA4_Base_4_37_58_PM,151
10,PA19,PA19_Base_6_43_40_PM,151
10,PA206,PA206_Noise_11_05_15_AM,150
10,PA13,PA13_Base_3_19_26_PM,150
10,PA112,PA112_Reverse_Optical_Flow_11_23_37_AM,149
10,PA100,PA100_Reverse_Optical_Flow,139
10,PA107,PA107_Reverse_Optical_Flow_5_49_54_PM,139
10,PA213,PA213_Noise_1_25_40_PM,135
10,PA115,PA115_Reverse_Optical_Flow_5_40_37_PM,119
10,PA104,PA104_Reverse_Optical_Flow,118
10,PA1,PA1_Base,118
