model,fold,paired_window_count,mean_abs_error_difference_vs_ridge,median_abs_error_difference_vs_ridge
causal_tcn,0,38454,-0.11718860738598258,-0.08250817916454167
causal_tcn,1,38503,-0.11307543207381947,-0.09326895783748768
causal_tcn,2,38361,0.11307093008396082,0.2037579544569752
causal_tcn,3,38503,-0.29672225103881694,-0.23218110647233736
causal_tcn,4,38398,-0.14183617882895908,-0.11143077730760975
lstm,0,38454,-0.11748125919811876,-0.08382919778338671
lstm,1,38503,-0.07258248171629975,-0.04507877501160307
lstm,2,38361,-0.08108093467737588,-0.016907772018164735
lstm,3,38503,-0.23507042594669786,-0.15508159106963504
lstm,4,38398,-0.11690927307250905,-0.06782414344784371
