duration_seconds,fold,model,metric_slice,window_count,window_mae,window_rmse,window_r2,session_macro_mae,session_macro_rmse,raw_pa_id_group_macro_mae,raw_pa_id_group_macro_rmse,train_time_seconds,inference_latency_ms_per_window,parameter_count
10.0,0,mean_fms,,38454,4.513660623829022,5.680633578319663,-0.03052077996067415,4.527463244379474,5.1818672670415475,5.347048113473848,6.175463573988932,0.0025867819786071777,3.583075544258396e-05,1
10.0,0,mean_fms,fms_bin_0-5,11791,4.934097207612324,5.127885078384259,-12.48548057528054,,,,,,,
10.0,0,mean_fms,fms_bin_10-15,7645,4.6979082921441,4.8840118222896125,-12.376615877788288,,,,,,,
10.0,0,mean_fms,fms_bin_15-20,5946,10.856565815257108,11.05309602781857,-27.372845145079722,,,,,,,
10.0,0,mean_fms,fms_bin_5-10,13072,1.1415021590274692,1.299050905645849,-0.08287057382440532,,,,,,,
10.0,0,mean_fms,complete_dynamic,36577,4.458119427306585,5.591359914985486,-0.022913881554498472,,,,,,,
10.0,0,mean_fms,missing_dynamic,1877,5.595988991012159,7.20271892731782,-0.36394722642124777,,,,,,,
10.0,0,ridge_window_stats,,38454,3.979450171382761,5.079144555963629,0.1761572066771091,4.005898084092414,4.55512829397817,4.6637916281520155,5.410666944179158,21.088159911334515,0.0022585384744176033,37
10.0,0,ridge_window_stats,fms_bin_0-5,11791,3.2840892513117614,3.8808021812145492,-6.7238329444188265,,,,,,,
10.0,0,ridge_window_stats,fms_bin_10-15,7645,3.832620452324505,4.557610051122008,-10.64842402602954,,,,,,,
10.0,0,ridge_window_stats,fms_bin_15-20,5946,9.324352769844962,9.69380957749218,-20.823478250146366,,,,,,,
10.0,0,ridge_window_stats,fms_bin_5-10,13072,2.2613292228133193,2.7226372008672266,-3.756678082313643,,,,,,,
10.0,0,ridge_window_stats,complete_dynamic,36577,3.925575993230237,5.016247997835811,0.1766923063500756,,,,,,,
10.0,0,ridge_window_stats,missing_dynamic,1877,5.029293439515336,6.178288399590628,-0.0035545540268426823,,,,,,,
10.0,0,causal_tcn_linear,,38454,3.9778719393344386,5.077631507597077,0.1766479697630089,4.0044915838255,4.553053175364359,4.661400706674716,5.408014585314016,129.46689358353615,0.005170833911341215,97
10.0,0,causal_tcn_linear,fms_bin_0-5,11791,3.278814593055383,3.878513523346188,-6.71472554973477,,,,,,,
10.0,0,causal_tcn_linear,fms_bin_10-15,7645,3.8297260783046596,4.555223346251174,-10.63622725157213,,,,,,,
10.0,0,causal_tcn_linear,fms_bin_15-20,5946,9.320148729031063,9.689186756748335,-20.80266868674507,,,,,,,
10.0,0,causal_tcn_linear,fms_bin_5-10,13072,2.2650493020954987,2.727094069261078,-3.7722638826995167,,,,,,,
10.0,0,causal_tcn_linear,complete_dynamic,36577,3.924320126649448,5.0151360604762525,0.1770572664233998,,,,,,,
10.0,0,causal_tcn_linear,missing_dynamic,1877,5.021433288603785,6.1703948908133395,-0.0009918681209279967,,,,,,,
10.0,1,mean_fms,,38503,4.396735421208822,5.538288761557669,-0.003598789040072603,4.440386118451109,5.143185301834382,4.162117889988414,4.912083979446612,0.0023403391242027283,3.71472484380664e-05,1
10.0,1,mean_fms,fms_bin_0-5,13179,5.228287646827817,5.416701264367966,-13.628920090432997,,,,,,,
10.0,1,mean_fms,fms_bin_10-15,5788,4.454109318501105,4.650495377626501,-11.09557961789594,,,,,,,
10.0,1,mean_fms,fms_bin_15-20,5716,10.480430275014175,10.642691868628491,-32.04677850550029,,,,,,,
10.0,1,mean_fms,fms_bin_5-10,13820,1.0634860229960488,1.2529862700693735,-0.05677248478545782,,,,,,,
10.0,1,mean_fms,complete_dynamic,36568,4.40091315453474,5.526393072998956,-0.0021660566176722185,,,,,,,
10.0,1,mean_fms,missing_dynamic,1935,4.317783817978241,5.758477255535073,-0.10094945260262778,,,,,,,
