model,fold,slice_type,slice_value,window_count,mae,rmse,bias
lstm,0,fms_bin,0-5,11791,2.7588183625682037,3.587865293045876,2.508653916583475
lstm,0,fms_bin,5-10,13072,2.5754397324260183,2.9804525518202625,0.4451489767818877
lstm,0,fms_bin,10-15,7645,3.66349501874885,4.500885241281526,-3.612943629831797
lstm,0,fms_bin,15-20,5946,9.133090756054163,9.499007579937121,-9.133090756054163
lstm,0,missing_slice,complete_dynamic,36577,3.8046329970936927,4.941228900545842,-1.219311786134009
lstm,0,missing_slice,missing_dynamic,1877,4.9792708654510385,5.9403304940743675,-1.0277137609003195
lstm,1,fms_bin,0-5,13179,3.5603129367327617,4.215700873541854,3.5272501895311743
lstm,1,fms_bin,5-10,13820,2.3367503315167215,2.7810164488564255,0.8882165817810727
lstm,1,fms_bin,10-15,5788,3.7118128953757745,4.496612818771623,-3.650847247615714
lstm,1,fms_bin,15-20,5716,8.52987901312726,8.79705749183143,-8.52987901312726
lstm,1,missing_slice,complete_dynamic,36568,3.8219769872941796,4.7880802256137756,-0.3982197636034681
lstm,1,missing_slice,missing_dynamic,1935,5.009798853157102,5.666794428575104,1.7751893618926213
lstm,2,fms_bin,0-5,16880,4.039130662342807,4.74298444199443,3.983010119817692
lstm,2,fms_bin,5-10,12919,2.6548528108713807,3.089972215079171,1.7070862442884793
lstm,2,fms_bin,10-15,5197,2.7097615406608178,3.435104131624576,-2.4917944105675707
lstm,2,fms_bin,15-20,3365,7.204376142269435,7.520219640270941,-7.204376142269435
lstm,2,missing_slice,complete_dynamic,36448,3.6155218787399743,4.36466684445463,1.2991924544205993
lstm,2,missing_slice,missing_dynamic,1913,4.71792161695258,5.617260293590111,2.4785730074789285
lstm,3,fms_bin,0-5,14824,3.3767148554425623,4.087419320303447,3.2351101968624403
lstm,3,fms_bin,5-10,14221,2.5030068664512726,2.8671088947658445,1.1518030997490667
lstm,3,fms_bin,10-15,5931,2.9684429050114964,3.6993823398659353,-2.9281357994089237
lstm,3,fms_bin,15-20,3527,6.828796342847569,7.054713148172747,-6.828796342847569
lstm,3,missing_slice,complete_dynamic,36895,3.237850390578822,3.9333128482906097,0.6745885548932166
lstm,3,missing_slice,missing_dynamic,1608,4.901860121470778,5.602303009908358,-1.246155112240445
lstm,4,fms_bin,0-5,11863,3.458479737477792,4.212762573485732,3.356112606226167
lstm,4,fms_bin,5-10,12509,2.3771882952141126,2.7723151207814647,0.45485187971064944
lstm,4,fms_bin,10-15,7800,3.591862618739788,4.3754619617300925,-3.5784927684832843
lstm,4,fms_bin,15-20,6226,8.484066454440576,8.806152281943413,-8.484066454440576
lstm,4,missing_slice,complete_dynamic,36743,3.8669401683730285,4.858986002024517,-0.8264980854571646
lstm,4,missing_slice,missing_dynamic,1655,5.751986148350189,6.564999999288918,-2.9381970843519687
