model,fold,slice_type,slice_value,window_count,mae,rmse,bias
zero_mask_lstm,0,fms_bin,0-5,11791,2.426604287630147,3.161115055825271,2.096760967583508
zero_mask_lstm,0,fms_bin,5-10,13072,2.2695567557283858,2.737800311558685,-0.2943945605612179
zero_mask_lstm,0,fms_bin,10-15,7645,4.522466481729923,5.193968016496115,-4.5054630277747805
zero_mask_lstm,0,fms_bin,15-20,5946,9.999654473257594,10.32444435314175,-9.999654473257594
zero_mask_lstm,0,missing_slice,complete_dynamic,36577,3.906390318667957,5.2002561618401995,-1.959122552005215
zero_mask_lstm,0,missing_slice,missing_dynamic,1877,5.02285569058369,5.961872181417952,-0.7292498068791726
zero_mask_lstm,0,missing_block_class,no_missing,36577,3.906390318667957,5.2002561618401995,-1.959122552005215
zero_mask_lstm,0,missing_block_class,short_contiguous_missing,861,4.672553197570517,5.655716543685416,-0.9141018398962785
zero_mask_lstm,0,missing_block_class,long_contiguous_missing,1016,5.319716366257254,6.209516054208539,-0.5725986253558182
zero_mask_lstm,1,fms_bin,0-5,13179,2.9537080912296414,3.7764428622732384,2.77663253551324
zero_mask_lstm,1,fms_bin,5-10,13820,2.3773331817794814,2.8793547849000145,0.35870190380753036
zero_mask_lstm,1,fms_bin,10-15,5788,4.1537335930545325,4.932426231829952,-4.096519231785967
zero_mask_lstm,1,fms_bin,15-20,5716,8.942703333703516,9.22334099984515,-8.942703333703516
zero_mask_lstm,1,missing_slice,complete_dynamic,36568,3.750193509600651,4.866392459204785,-1.002962815169236
zero_mask_lstm,1,missing_slice,missing_dynamic,1935,5.06609278526109,5.7335385812445825,1.7569504662693625
zero_mask_lstm,1,missing_block_class,no_missing,36568,3.750193509600651,4.866392459204785,-1.002962815169236
zero_mask_lstm,1,missing_block_class,short_contiguous_missing,828,4.65399365177477,5.368005969348459,0.8994996026518264
zero_mask_lstm,1,missing_block_class,long_contiguous_missing,1107,5.37432953551102,5.992386767765947,2.3982958276743487
zero_mask_lstm,2,fms_bin,0-5,16880,3.0890467055194892,3.9105316654330697,2.8781812476868174
zero_mask_lstm,2,fms_bin,5-10,12919,2.3385347400862084,2.727527812763119,0.6530817497975225
zero_mask_lstm,2,fms_bin,10-15,5197,3.5179809674130325,4.246743953788745,-3.482033514187431
zero_mask_lstm,2,fms_bin,15-20,3365,8.225204304493909,8.532929895581935,-8.225204304493909
zero_mask_lstm,2,missing_slice,complete_dynamic,36448,3.2876831098149766,4.189820234251192,0.23130164706476092
zero_mask_lstm,2,missing_slice,missing_dynamic,1913,4.435924873013056,5.270958447138389,1.4722631973430118
zero_mask_lstm,2,missing_block_class,no_missing,36448,3.2876831098149766,4.189820234251192,0.23130164706476092
zero_mask_lstm,2,missing_block_class,short_contiguous_missing,887,4.056750037355648,4.85532557128922,0.909693736771989
zero_mask_lstm,2,missing_block_class,long_contiguous_missing,1026,4.763730018459565,5.605499014994667,1.958617107212892
zero_mask_lstm,3,fms_bin,0-5,14824,2.9671222605906866,3.669208379511639,2.7869430486237476
zero_mask_lstm,3,fms_bin,5-10,14221,2.2665365560831763,2.635526323910173,0.6347325337982221
zero_mask_lstm,3,fms_bin,10-15,5931,3.4570628348037618,4.120895736769757,-3.446715660781407
zero_mask_lstm,3,fms_bin,15-20,3527,7.357512163514283,7.56293763634524,-7.357512163514283
zero_mask_lstm,3,missing_slice,complete_dynamic,36895,3.108466171960647,3.851861983108493,0.17114915428873742
zero_mask_lstm,3,missing_slice,missing_dynamic,1608,4.965150755287996,5.763101269941556,-1.471883654446151
zero_mask_lstm,3,missing_block_class,no_missing,36895,3.108466171960647,3.851861983108493,0.17114915428873742
zero_mask_lstm,3,missing_block_class,short_contiguous_missing,695,4.693561533029131,5.565415826485934,-1.6468840767153734
zero_mask_lstm,3,missing_block_class,long_contiguous_missing,913,5.171891729515719,5.909153112008849,-1.3386686561141583
zero_mask_lstm,4,fms_bin,0-5,11863,2.878482124861071,3.655659740416026,2.6557973981026723
zero_mask_lstm,4,fms_bin,5-10,12509,2.1652156939496714,2.610107888067313,-0.26539176534416103
zero_mask_lstm,4,fms_bin,10-15,7800,4.3516917270574815,4.972915775474536,-4.351677659872251
zero_mask_lstm,4,fms_bin,15-20,6226,9.287357288610503,9.566855605791392,-9.287357288610503
zero_mask_lstm,4,missing_slice,complete_dynamic,36743,3.887718478338423,5.022015790791073,-1.5612914587710167
zero_mask_lstm,4,missing_slice,missing_dynamic,1655,6.134113875040475,6.943838605776265,-3.7545022448744296
zero_mask_lstm,4,missing_block_class,no_missing,36743,3.887718478338423,5.022015790791073,-1.5612914587710167
zero_mask_lstm,4,missing_block_class,short_contiguous_missing,766,5.956444006364588,6.769477771384417,-4.183230317292574
zero_mask_lstm,4,missing_block_class,long_contiguous_missing,889,6.287201748387752,7.090637317105977,-3.3850920047481097
ffill_mask_lstm,0,fms_bin,0-5,11791,2.3836958687864644,3.1466591112420272,2.0616642352837804
ffill_mask_lstm,0,fms_bin,5-10,13072,2.290491318650489,2.7398155421550316,-0.2974456765722014
ffill_mask_lstm,0,fms_bin,10-15,7645,4.493101491709408,5.16749935752706,-4.489823092228841
ffill_mask_lstm,0,fms_bin,15-20,5946,10.041788267138989,10.364777501491437,-10.041788267138989
ffill_mask_lstm,0,missing_slice,complete_dynamic,36577,3.9008715408317576,5.202704754168281,-1.958625943812628
ffill_mask_lstm,0,missing_slice,missing_dynamic,1877,5.020520030785319,6.006496120836977,-1.0504189214620046
ffill_mask_lstm,0,missing_block_class,no_missing,36577,3.9008715408317576,5.202704754168281,-1.958625943812628
ffill_mask_lstm,0,missing_block_class,short_contiguous_missing,861,4.664264296543862,5.6897350740057115,-1.1206248637275829
ffill_mask_lstm,0,missing_block_class,long_contiguous_missing,1016,5.32242572683049,6.2624027698067835,-0.9909235314121396
ffill_mask_lstm,1,fms_bin,0-5,13179,2.881838879419328,3.6759901144686054,2.7039584231542633
ffill_mask_lstm,1,fms_bin,5-10,13820,2.3206791565975906,2.8346144391647816,0.21160454776262064
ffill_mask_lstm,1,fms_bin,10-15,5788,4.346987174989935,5.100681717357075,-4.315673553972468
