model,slice_type,slice_value,window_count_mean,mae_mean,rmse_mean,bias_mean
ffill_mask_lstm,fms_bin,0-5,13707.4,2.8499775303966044,3.6266782948505094,2.615836565305359
ffill_mask_lstm,fms_bin,10-15,6472.2,4.024638219805424,4.707226300844886,-3.9981654696520734
ffill_mask_lstm,fms_bin,15-20,4956.0,8.779817220405738,9.05969199491928,-8.779817220405738
ffill_mask_lstm,fms_bin,5-10,13308.2,2.2836821254250292,2.7197020893782584,0.20466964538156796
ffill_mask_lstm,missing_block_class,long_contiguous_missing,990.2,5.421367183135529,6.218211018849209,-0.35158426383644337
ffill_mask_lstm,missing_block_class,no_missing,36646.2,3.586892295489173,4.627392097297492,-0.838928144903359
ffill_mask_lstm,missing_block_class,short_contiguous_missing,807.4,4.829170870447852,5.65634984292982,-0.8791371984509564
ffill_mask_lstm,missing_slice,complete_dynamic,36646.2,3.586892295489173,4.627392097297492,-0.838928144903359
ffill_mask_lstm,missing_slice,missing_dynamic,1797.6,5.155855584928277,5.972803340965093,-0.5886740527534048
ffill_mask_time_lstm,fms_bin,0-5,13707.4,2.86904072443591,3.6352730150611046,2.6525998249514453
ffill_mask_time_lstm,fms_bin,10-15,6472.2,4.0005983163084196,4.682859325159326,-3.9679860633603936
ffill_mask_time_lstm,fms_bin,15-20,4956.0,8.738428080706537,9.020101627328936,-8.738428080706537
ffill_mask_time_lstm,fms_bin,5-10,13308.2,2.281701482932955,2.716179551359443,0.24711474210813975
ffill_mask_time_lstm,missing_block_class,long_contiguous_missing,990.2,5.3995412349746035,6.187143292758278,-0.5409274368979023
ffill_mask_time_lstm,missing_block_class,no_missing,36646.2,3.5885312183378417,4.620610552900144,-0.7978487762011994
ffill_mask_time_lstm,missing_block_class,short_contiguous_missing,807.4,4.79799925417215,5.596375804382,-0.7378192842165369
ffill_mask_time_lstm,missing_slice,complete_dynamic,36646.2,3.5885312183378417,4.620610552900144,-0.7978487762011994
ffill_mask_time_lstm,missing_slice,missing_dynamic,1797.6,5.12966833371634,5.9293727801734,-0.6290804033357322
zero_mask_lstm,fms_bin,0-5,13707.4,2.862992693966207,3.6345915406918485,2.638863039501997
zero_mask_lstm,fms_bin,10-15,6472.2,4.000587120811746,4.693389942871821,-3.9764818188803672
zero_mask_lstm,fms_bin,15-20,4956.0,8.76248631271596,9.042101698141092,-8.76248631271596
zero_mask_lstm,fms_bin,5-10,13308.2,2.2834353855253844,2.718063424239861,0.21734597229957925
zero_mask_lstm,missing_block_class,long_contiguous_missing,990.2,5.383373879626262,6.161438453216795,-0.1878892702661691
zero_mask_lstm,missing_block_class,no_missing,36646.2,3.5880903176765306,4.626069325839149,-0.8241852049183939
zero_mask_lstm,missing_block_class,short_contiguous_missing,807.4,4.806660485218931,5.642788336438689,-0.9870045788960822
zero_mask_lstm,missing_slice,complete_dynamic,36646.2,3.5880903176765306,4.626069325839149,-0.8241852049183939
zero_mask_lstm,missing_slice,missing_dynamic,1797.6,5.124827595837262,5.934661817103749,-0.5452844085174757
