comparison,scope,fold,mae_diff
lstm_minus_ridge,overall,0,-0.11748125919813468
lstm_minus_ridge,overall,1,-0.07258248171634918
lstm_minus_ridge,overall,2,-0.08108093467739463
lstm_minus_ridge,overall,3,-0.23507042594667782
lstm_minus_ridge,overall,4,-0.11690927307252164
lstm_minus_ridge,0-5,0,-0.5252708887435578
lstm_minus_ridge,0-5,1,-0.13389453119194927
lstm_minus_ridge,0-5,2,-0.11886495165363087
lstm_minus_ridge,0-5,3,-0.6467722290406237
lstm_minus_ridge,0-5,4,-0.3181445746799847
lstm_minus_ridge,5-10,0,0.31411050961269904
lstm_minus_ridge,5-10,1,0.06306541654604914
lstm_minus_ridge,5-10,2,0.18563464950885722
lstm_minus_ridge,5-10,3,0.0957077300629412
lstm_minus_ridge,5-10,4,0.11052740833870356
lstm_minus_ridge,10-15,0,-0.16912543357565468
lstm_minus_ridge,10-15,1,-0.19165454714734764
lstm_minus_ridge,10-15,2,-0.39506418080183847
lstm_minus_ridge,10-15,3,-0.05623684158160547
lstm_minus_ridge,10-15,4,-0.14218432013958893
lstm_minus_ridge,15-20,0,-0.19126201379079966
lstm_minus_ridge,15-20,1,-0.13861350677432505
lstm_minus_ridge,15-20,2,-0.43060054699045924
lstm_minus_ridge,15-20,3,-0.13912220264592978
lstm_minus_ridge,15-20,4,-0.15876691805808463
lstm_minus_ridge,complete_dynamic,0,-0.12094299613654425
lstm_minus_ridge,complete_dynamic,1,-0.09381036147013111
lstm_minus_ridge,complete_dynamic,2,-0.09603179358163239
lstm_minus_ridge,complete_dynamic,3,-0.2333076507473364
lstm_minus_ridge,complete_dynamic,4,-0.10440713943994062
lstm_minus_ridge,missing_dynamic,0,-0.050022574064297665
lstm_minus_ridge,missing_dynamic,1,0.32858604894815446
lstm_minus_ridge,missing_dynamic,2,0.20377473983503425
lstm_minus_ridge,missing_dynamic,3,-0.27551668899403037
lstm_minus_ridge,missing_dynamic,4,-0.39447174803450125
causal_tcn_minus_ridge,overall,0,-0.11718860738599846
causal_tcn_minus_ridge,overall,1,-0.11307543207386717
causal_tcn_minus_ridge,overall,2,0.1130709300839432
causal_tcn_minus_ridge,overall,3,-0.2967222510387968
causal_tcn_minus_ridge,overall,4,-0.1418361788289717
causal_tcn_minus_ridge,0-5,0,-0.30761670630195415
causal_tcn_minus_ridge,0-5,1,-0.4036757348052711
causal_tcn_minus_ridge,0-5,2,0.3183817327762801
causal_tcn_minus_ridge,0-5,3,-0.7921618183030472
causal_tcn_minus_ridge,0-5,4,-0.30473565800332825
causal_tcn_minus_ridge,5-10,0,0.13044775858202495
causal_tcn_minus_ridge,5-10,1,-0.17521900773338084
causal_tcn_minus_ridge,5-10,2,0.5513412645244573
causal_tcn_minus_ridge,5-10,3,-0.18582408987862564
causal_tcn_minus_ridge,5-10,4,-0.08262419165964996
causal_tcn_minus_ridge,10-15,0,-0.16591611969089692
causal_tcn_minus_ridge,10-15,1,0.19031365264749045
causal_tcn_minus_ridge,10-15,2,-0.8014058962131965
causal_tcn_minus_ridge,10-15,3,0.35251055124791897
causal_tcn_minus_ridge,10-15,4,-0.010866692984724757
causal_tcn_minus_ridge,15-20,0,-0.22133307930729273
causal_tcn_minus_ridge,15-20,1,0.3999808280636117
causal_tcn_minus_ridge,15-20,2,-1.1871147263250572
causal_tcn_minus_ridge,15-20,3,0.24671796583193206
causal_tcn_minus_ridge,15-20,4,-0.11449409974775548
causal_tcn_minus_ridge,complete_dynamic,0,-0.11763649438521373
causal_tcn_minus_ridge,complete_dynamic,1,-0.12720202505677314
