variant,fms_bin,n,mae,rmse,bias
cumulative_dose,0-5,68537,2.988810474669051,3.7138262541456664,2.7728302567131466
cumulative_dose,10-15,32361,4.311483588211616,4.98078478393846,-4.261349470582749
cumulative_dose,15-20,24780,9.150293919687025,9.492820117479077,-9.150293919687025
cumulative_dose,5-10,66541,2.2611666822124974,2.728048447281961,0.0891222789756192
local_sequence,0-5,68537,2.9174642024940964,3.680945863349575,2.705255315856374
local_sequence,10-15,32361,4.174155737158652,4.8604940152898,-4.1520469170455705
local_sequence,15-20,24780,9.141013862181806,9.468905551052256,-9.141013862181806
local_sequence,5-10,66541,2.2426186519323945,2.683563452320148,0.17754487701058091
sequence_plus_dose,0-5,68537,2.992801267190767,3.7261892079339396,2.8167625955886946
sequence_plus_dose,10-15,32361,4.157939521915917,4.826055361999219,-4.102729735977552
sequence_plus_dose,15-20,24780,8.983518173412703,9.320282037748365,-8.983518173412703
sequence_plus_dose,5-10,66541,2.2335482598725167,2.6950378459815525,0.19370170315150304
window_stats,0-5,68537,2.928471966598019,3.6846263688405125,2.718314414542182
window_stats,10-15,32361,4.219588449784815,4.906396782239478,-4.158835943199238
window_stats,15-20,24780,9.060571423045467,9.408628563060649,-9.060571423045467
window_stats,5-10,66541,2.259708330581482,2.7290704496514246,0.15218915904217895
