variant,fms_bin,n,mae,rmse,bias
cumulative_dose,0-5,68537,2.9945877189212666,3.7317522249352333,2.77422563123879
cumulative_dose,10-15,32361,4.276544387215078,4.950357267490148,-4.222249177627903
cumulative_dose,15-20,24780,9.098520935736326,9.444310853069144,-9.098520935736326
cumulative_dose,5-10,66541,2.277065349091694,2.7464910948607697,0.12627553249548085
dynamic,0-5,68537,2.8418542534549878,3.6369784546906962,2.591664895030745
dynamic,10-15,32361,4.139029434863254,4.859901148327484,-4.117242928790625
dynamic,15-20,24780,9.061402282926997,9.396991068527402,-9.061402282926997
dynamic,5-10,66541,2.3252046694730395,2.765689124974015,0.14539945190474365
static_dose,0-5,68537,2.9086219046993183,3.834678183892031,2.5444905234946935
static_dose,10-15,32361,4.350658302706575,5.0907642185936295,-3.6787231534734204
static_dose,15-20,24780,7.396799676140727,8.228636226714906,-6.971761622765162
static_dose,5-10,66541,2.618759708667688,3.4138432726918246,0.09513253641321845
static_dynamic,0-5,68537,3.1796061891275658,4.105267276358504,2.673613371916769
static_dynamic,10-15,32361,3.697855241145096,4.498885854827013,-3.0783354031618915
static_dynamic,15-20,24780,7.066974372022858,7.873358937119595,-6.891654567308634
static_dynamic,5-10,66541,2.583770055864849,3.2293774117837826,0.5272788013604532
static_dynamic_dose,0-5,68537,2.946193656584532,3.905380196669728,2.5930396797172324
static_dynamic_dose,10-15,32361,4.204437228153097,4.9130440185132676,-3.417607418088822
static_dynamic_dose,15-20,24780,7.244434685421817,8.028394708616549,-6.6661347443750545
static_dynamic_dose,5-10,66541,2.609145915147694,3.3864144772601046,0.3275535656492659
static_only,0-5,68537,4.368069057975132,5.035134719269848,4.335636582312582
static_only,10-15,32361,5.041293924271311,5.563230211726556,-4.49822637878704
static_only,15-20,24780,8.980799422714382,9.691355964223899,-8.848632814693682
static_only,5-10,66541,1.9302633399670717,2.6523219481610893,-0.11249999023193624
