raw_pa_id,session_uid,fold,row_count,event_count,up_count,down_count,high_fms_event_count,stair_duration_median_seconds,stair_duration_p95_seconds
PA100,PA100_Reverse_Optical_Flow,2,526,61,35,26,31,0.5147699999999986,20.8171627
PA103,PA103_Reverse_Optical_Flow,4,540,80,50,30,41,0.5137750000000034,17.123344999999983
PA104,PA104_Reverse_Optical_Flow,4,521,95,48,47,26,0.5130000000000052,11.35081000000001
PA105,PA105_Reverse_Optical_Flow_10_34_44_AM,0,543,55,27,28,23,1.5105600000000017,17.226320000000012
PA106,PA106_Reverse_Optical_Flow_2_10_12_PM,0,522,29,17,12,8,2.550690000000003,31.756703999999978
PA107,PA107_Reverse_Optical_Flow_5_49_54_PM,4,537,53,26,27,0,1.0108700000000113,18.585043999999982
PA108,PA108_Reverse_Optical_Flow_6_05_04_PM,0,520,33,19,14,0,1.5270799999999998,25.602761999999977
PA109,PA109_Reverse_Optical_Flow_6_24_30_PM,4,520,62,30,32,25,1.2676099999999977,14.734799999999991
PA10,PA10_Base_11_31_04_AM,1,524,42,22,20,0,1.2651499999999913,27.70774405499999
PA10,PA10_Base_1_32_26_PM,1,463,9,9,0,0,10.1296188,69.68809999999999
PA10,PA10_RoF_Backward_Texture_5_19_07_PM,1,467,7,7,0,0,22.7830085,59.16478899999998
PA10,PA10_RoF_Foward_Texture_2_03_06_PM,1,461,10,10,0,0,7.601719999999997,47.03096600000001
PA10,PA10_ROF_Foward_WhiteLine_11_05_21_AM,1,470,5,5,0,0,1.5232000000000028,105.05262023999998
PA10,PA10_RoF_Original_11_08_44_AM,1,471,9,8,1,0,10.196100000000001,81.93933105999997
PA110,PA110_Reverse_Optical_Flow_6_47_18_PM,1,570,9,9,0,0,23.386430000000004,44.56992799999999
PA111,PA111_Reverse_Optical_Flow_7_01_35_PM,1,523,6,6,0,0,1.0210849999999994,57.849623224999995
PA112,PA112_Reverse_Optical_Flow_11_23_37_AM,3,521,33,17,16,0,2.5086000000000013,24.009297999999987
PA114,PA114_Reverse_Optical_Flow_3_06_11_PM,3,522,73,36,37,10,1.019900000000007,14.112219999999978
PA115,PA115_Reverse_Optical_Flow_5_40_37_PM,0,520,85,53,32,18,0.5144999999999982,10.983883999999994
PA115,PA115_Reverse_Optical_Flow_6_28_52_PM,0,519,20,12,8,0,0.514420000000003,41.97801000000005
PA117,PA117_Reverse_Optical_Flow_11_44_23_AM,3,520,59,29,30,10,1.512599999999992,11.386672999999993
PA118,PA118_Reverse_Optical_Flow_2_30_47_PM,2,526,11,6,5,0,1.031000000000006,77.539895
PA119,PA119_Reverse_Optical_Flow_3_45_18_PM,3,518,49,33,16,14,1.0238999999999976,15.865900000000003
PA11,PA11_Base_1_52_14_PM,2,519,52,29,23,0,1.0148499999999956,25.11051620999998
PA11,PA11_Reverse_Optical_Flow_High_Density_12_11_31_PM,2,459,34,16,18,2,2.7968249999999983,25.959089999999946
PA11,PA11_RoF_Foward_Texture_5_18_19_PM,2,464,23,17,6,2,2.510300000000001,23.68223499999998
PA11,PA11_ROF_Foward_WhiteLine_1_37_39_PM,2,470,5,5,0,0,41.068299999999994,104.52570263999998
PA11,PA11_RoF_Original_2_31_40_PM,2,458,12,8,4,0,1.6926999999999879,60.699470000000005
PA120,PA120_Reverse_Optical_Flow_10_09_43_AM,1,522,18,10,8,0,1.7788500000000056,60.67777449999998
PA12,PA12_Base_12_16_43_PM,1,460,25,15,10,0,3.5418999999999983,34.533564
PA12,PA12_Base_3_06_37_PM,1,565,35,26,9,15,2.5143000000000058,33.51749188999997
PA12,PA12_Base_3_31_56_PM,1,472,29,16,13,0,5.068700000000007,19.800252000000004
PA12,PA12_Base_6_06_13_PM,1,470,21,16,5,0,1.5148169999999999,24.343999999999994
PA12,PA12_Reverse_Optical_Flow_Backward_Texture_5_49_09_PM,1,461,15,10,5,0,1.0142900000000026,60.07328199999992
PA12,PA12_Reverse_Optical_Flow_Foward_Texture_7_06_02_PM,1,470,21,15,6,0,1.5180700000000016,41.10599
PA12,PA12_Reverse_Optical_Flow_High_Density_7_29_49_PM,1,461,53,30,23,0,2.013639999999995,12.262687159999992
PA12,PA12_RoF_Backward_Texture_3_33_49_PM,1,475,50,27,23,0,1.5350500000000054,15.742385000000002
PA12,PA12_RoF_Foward_Texture_5_06_00_PM,1,459,40,21,19,0,3.29764999999999,20.404162549999995
PA12,PA12_ROF_Foward_WhiteLine_3_36_03_PM,1,466,66,35,31,0,1.2716500000000082,15.728982499999994
PA12,PA12_RoF_Original_11_44_41_AM,1,467,49,25,24,0,2.0411,17.418673599999973
PA12,PA12_ROF_Original_5_26_18_PM,1,457,19,17,2,3,1.5318400000000025,34.67582999999998
PA13,PA13_Base_11_32_30_AM,4,458,9,9,0,0,5.057900000000018,63.576062539999995
PA13,PA13_Base_2_32_12_PM,4,466,28,15,13,0,6.337900000000005,21.110671499999988
PA13,PA13_Base_3_19_26_PM,4,525,29,20,9,10,6.077300000000008,25.171331999999992
PA13,PA13_Base_4_02_22_PM,4,464,22,14,8,0,3.042065000000001,26.089957219999995
PA13,PA13_Reverse_Optical_Flow_Backward_Texture_9_58_13_AM,4,487,12,12,0,0,13.6892,38.82363183000001
PA13,PA13_Reverse_Optical_Flow_Foward_Texture_9_55_46_AM,4,461,13,13,0,1,2.5545999999999935,48.24561800000001
PA13,PA13_Reverse_Optical_Flow_High_Density_2_06_23_PM,4,474,56,28,28,0,3.5503799999999996,11.531847500000008
PA13,PA13_Reverse_Optical_Flow_Low_Density_2_04_28_PM,4,461,49,28,21,0,4.042100000000005,12.495395999999994
PA13,PA13_RoF_Backward_Texture_5_51_07_PM,4,463,12,7,5,0,14.700149999999994,49.889338499999994
PA13,PA13_ROF_Original_11_22_51_AM,4,455,9,9,0,0,13.897700000000015,58.624463099999986
PA14,PA14_Base_4_12_51_PM,2,483,23,12,11,0,4.082750000000001,30.40000372999999
PA14,PA14_Base_4_26_11_PM,2,519,104,50,54,32,1.0123999999999924,9.534583655
PA14,PA14_Base_5_03_02_PM,2,461,70,39,31,4,1.025669999999998,13.82722399999999
PA14,PA14_Base_5_34_25_PM,2,459,4,4,0,0,44.63575000000001,67.24156599999999
PA14,PA14_Reverse_Optical_Flow_Backward_Texture_1_36_15_PM,2,476,57,34,23,8,2.5467000000000013,10.744819999999997
PA14,PA14_Reverse_Optical_Flow_Foward_Texture_11_44_29_AM,2,472,63,38,25,24,2.026500000000027,10.178499999999994
PA14,PA14_Reverse_Optical_Flow_High_Density_5_17_03_PM,2,462,33,20,13,2,1.5141999999999882,26.529614119999984
PA14,PA14_Reverse_Optical_Flow_Low_Density_3_32_09_PM,2,452,15,11,4,0,5.19550000000001,57.57746882999994
PA14,PA14_RoF_Backward_Texture_5_05_13_PM,2,463,6,6,0,0,33.2673,64.26380025
PA14,PA14_RoF_Foward_Texture_2_13_35_PM,2,600,5,5,0,0,39.081860000000006,55.825198
PA14,PA14_ROF_Foward_WhiteLine_2_32_04_PM,2,482,12,8,4,0,12.967318899999992,39.70034449999999
PA14,PA14_RoF_Original_2_01_16_PM,2,483,17,10,7,0,9.158760000000001,44.19447999999996
PA14,PA14_ROF_Original_3_01_42_PM,2,461,82,45,37,18,1.031160000000007,10.294384999999984
PA15,PA15_Base_10_01_23_AM,0,474,4,4,0,0,38.06815,114.78552574499999
