raw_pa_id,session_uid,fold,timestamp,source_row_end,fms_before,fms_after,update_direction,update_magnitude,abs_update_magnitude,is_high_fms_event,stair_duration_seconds,future_5s_delta_fms,future_10s_delta_fms
PA100,PA100_Reverse_Optical_Flow,2,21.3217,41,0.0,1.0,up,1.0,1.0,False,20.8171627,5.0,13.0
PA100,PA100_Reverse_Optical_Flow,2,22.34324,43,1.0,2.0,up,1.0,1.0,False,1.0215400000000017,4.0,14.0
PA100,PA100_Reverse_Optical_Flow,2,22.84618,44,2.0,3.0,up,1.0,1.0,False,0.5029399999999988,4.0,13.0
PA100,PA100_Reverse_Optical_Flow,2,23.87444,46,3.0,5.0,up,2.0,2.0,False,1.0282599999999995,5.0,11.0
PA100,PA100_Reverse_Optical_Flow,2,25.40712,49,5.0,6.0,up,1.0,1.0,False,1.5326799999999992,4.0,10.0
PA100,PA100_Reverse_Optical_Flow,2,27.94234,54,6.0,7.0,up,1.0,1.0,False,2.5352200000000025,9.0,9.0
PA100,PA100_Reverse_Optical_Flow,2,28.45155,55,7.0,10.0,up,3.0,3.0,False,0.5092099999999995,6.0,7.0
PA100,PA100_Reverse_Optical_Flow,2,30.98358,60,10.0,11.0,up,1.0,1.0,False,2.532029999999999,5.0,6.0
PA100,PA100_Reverse_Optical_Flow,2,31.48756,61,11.0,14.0,up,3.0,3.0,False,0.5039799999999985,2.0,2.0
PA100,PA100_Reverse_Optical_Flow,2,32.52126,63,14.0,16.0,up,2.0,2.0,True,1.0336999999999996,0.0,-1.0
PA100,PA100_Reverse_Optical_Flow,2,38.59463,75,16.0,17.0,up,1.0,1.0,True,6.073370000000004,-2.0,-2.0
PA100,PA100_Reverse_Optical_Flow,2,41.61148,81,17.0,16.0,down,-1.0,1.0,True,3.016849999999998,-1.0,-1.0
PA100,PA100_Reverse_Optical_Flow,2,42.11243,82,16.0,15.0,down,-1.0,1.0,True,0.5009500000000031,0.0,0.0
PA100,PA100_Reverse_Optical_Flow,2,58.42542,114,15.0,16.0,up,1.0,1.0,True,16.31299,2.0,2.0
PA100,PA100_Reverse_Optical_Flow,2,58.94012,115,16.0,17.0,up,1.0,1.0,True,0.5146999999999977,1.0,1.0
