model,fold,slice_type,slice_value,window_count,mae,rmse,bias
local_sequence,0,fms_bin,0-5,11791,2.3040458587262176,3.0660827558907258,1.9453453942191843
local_sequence,0,fms_bin,5-10,13072,2.3244078721431616,2.7743942147380696,-0.3843976950462146
local_sequence,0,fms_bin,10-15,7645,4.572739293491084,5.244621093514461,-4.570548889331368
local_sequence,0,fms_bin,15-20,5946,10.131258957130598,10.467050818663044,-10.131258957130598
local_sequence,0,missing_slice,complete_dynamic,36577,3.916965142367859,5.23981073129623,-2.046255367748081
local_sequence,0,missing_slice,missing_dynamic,1877,5.050553047599854,6.060545169124811,-1.2912672127442724
local_sequence,1,fms_bin,0-5,13179,2.9564700858674984,3.7549427636741712,2.7734519080355367
local_sequence,1,fms_bin,5-10,13820,2.2745688436587925,2.78063326981048,0.2621438360178652
local_sequence,1,fms_bin,10-15,5788,4.301689851599145,5.04823581297697,-4.26493585605043
local_sequence,1,fms_bin,15-20,5716,9.12931669988859,9.411021649210813,-9.12931669988859
local_sequence,1,missing_slice,complete_dynamic,36568,3.761049624300598,4.911428150609305,-1.1051635442503747
local_sequence,1,missing_slice,missing_dynamic,1935,5.139614024396399,5.7659789155055865,1.922040312419566
local_sequence,2,fms_bin,0-5,16880,3.102057522831935,3.935219328673179,2.9116071619058106
local_sequence,2,fms_bin,5-10,12919,2.344909935181554,2.7238737380009765,0.7079180971471986
local_sequence,2,fms_bin,10-15,5197,3.524247594721069,4.228513491255882,-3.4618298690870035
local_sequence,2,fms_bin,15-20,3365,8.18484190512908,8.493678691732704,-8.18484190512908
local_sequence,2,missing_slice,complete_dynamic,36448,3.287056693960966,4.1808667630755645,0.25307522737196236
local_sequence,2,missing_slice,missing_dynamic,1913,4.55174480765762,5.4027970492288135,1.8485698182733659
local_sequence,3,fms_bin,0-5,14824,3.385812790385868,3.9564134823275574,3.2785242543034596
local_sequence,3,fms_bin,5-10,14221,2.077655180785762,2.4723440161707506,0.799197817196005
local_sequence,3,fms_bin,10-15,5931,3.4069663035369127,4.008739085883861,-3.3797194916127484
local_sequence,3,fms_bin,15-20,3527,7.384975523457907,7.575418658787002,-7.384975523457907
local_sequence,3,missing_slice,complete_dynamic,36895,3.197312405198986,3.9078484082648313,0.4465823324885144
local_sequence,3,missing_slice,missing_dynamic,1608,4.991484924335385,5.754616018046978,-1.6183734011294237
local_sequence,4,fms_bin,0-5,11863,2.6359184248812393,3.417141001462664,2.3748142042354377
local_sequence,4,fms_bin,5-10,12509,2.2037461680109307,2.6665344610586836,-0.5831763960628956
local_sequence,4,fms_bin,10-15,7800,4.705237071070916,5.292532271264952,-4.705237071070916
local_sequence,4,fms_bin,15-20,6226,9.717616737425002,9.97045014380746,-9.717616737425002
local_sequence,4,missing_slice,complete_dynamic,36743,3.9549572331804446,5.155926314330505,-1.8820452271196388
local_sequence,4,missing_slice,missing_dynamic,1655,6.478730170892445,7.296778435437884,-4.334305628404876
cumulative_dose,0,fms_bin,0-5,11791,2.507870950960504,3.196209559477967,2.067651427951784
cumulative_dose,0,fms_bin,5-10,13072,2.35441690600378,2.8285404706759403,-0.45400083040410477
cumulative_dose,0,fms_bin,10-15,7645,4.724728324804686,5.393972645652711,-4.70338622528872
cumulative_dose,0,fms_bin,15-20,5946,10.232417929685761,10.556510255798958,-10.232417929685761
cumulative_dose,0,missing_slice,complete_dynamic,36577,4.0390962189262085,5.321863290537848,-2.0344485271152037
cumulative_dose,0,missing_slice,missing_dynamic,1877,5.09948152980083,6.285208142848775,-2.099276395319114
cumulative_dose,1,fms_bin,0-5,13179,3.0051941616020144,3.7609259727150683,2.785578308829824
cumulative_dose,1,fms_bin,5-10,13820,2.3267359763556383,2.8551444814397886,0.18100873727443076
cumulative_dose,1,fms_bin,10-15,5788,4.416086060018809,5.174246900904263,-4.373042877946299
cumulative_dose,1,fms_bin,15-20,5716,9.137905801673133,9.423649324807482,-9.137905801673133
cumulative_dose,1,missing_slice,complete_dynamic,36568,3.8327544818209938,4.963837682349567,-1.126314168686328
cumulative_dose,1,missing_slice,missing_dynamic,1935,4.856514126878684,5.597030971483051,1.47611992858177
cumulative_dose,2,fms_bin,0-5,16880,3.377581462355869,4.163007203491031,3.248715366719741
cumulative_dose,2,fms_bin,5-10,12919,2.3431168482929055,2.799573433615029,0.892850228115929
cumulative_dose,2,fms_bin,10-15,5197,3.5401197283318897,4.202536087804424,-3.3503710241163605
cumulative_dose,2,fms_bin,15-20,3365,7.982362364518164,8.322425555897194,-7.982362364518164
cumulative_dose,2,missing_slice,complete_dynamic,36448,3.395121195988895,4.263612792468499,0.505686409303737
cumulative_dose,2,missing_slice,missing_dynamic,1913,4.598837365919673,5.414547887538831,1.9180667391635957
cumulative_dose,3,fms_bin,0-5,14824,3.094934138747337,3.708788914970746,2.96981303590861
cumulative_dose,3,fms_bin,5-10,14221,2.125426225207558,2.502862726973987,0.4405858232019219
cumulative_dose,3,fms_bin,10-15,5931,3.706635653359595,4.291060053137326,-3.670574727739377
cumulative_dose,3,fms_bin,15-20,3527,7.472144725541066,7.714325762344703,-7.472144725541066
cumulative_dose,3,missing_slice,complete_dynamic,36895,3.1563951501162624,3.8901620614479957,0.14092072268975978
cumulative_dose,3,missing_slice,missing_dynamic,1608,4.967724791658458,5.781507684724017,-1.8865819557092676
cumulative_dose,4,fms_bin,0-5,11863,2.7628310297991168,3.4595836732608136,2.536274884157696
cumulative_dose,4,fms_bin,5-10,12509,2.1609601327694237,2.6468037277066787,-0.6744631399438578
cumulative_dose,4,fms_bin,10-15,7800,4.802693327099849,5.364081036680007,-4.801399157062555
cumulative_dose,4,fms_bin,15-20,6226,9.71011130002929,9.97764876650591,-9.71011130002929
cumulative_dose,4,missing_slice,complete_dynamic,36743,4.005300182647711,5.186288210210041,-1.8831709116657567
cumulative_dose,4,missing_slice,missing_dynamic,1655,6.378447795562514,7.190619724133759,-4.2669172438249845
window_stats,0,fms_bin,0-5,11791,2.2932353556713325,3.039669888507953,1.8657920535563943
window_stats,0,fms_bin,5-10,13072,2.341868539805173,2.843469176114885,-0.454779235972576
window_stats,0,fms_bin,10-15,7645,4.700362356443706,5.361076177593536,-4.675985321206661
window_stats,0,fms_bin,15-20,5946,10.15608562005316,10.499636094475273,-10.15608562005316
window_stats,0,missing_slice,complete_dynamic,36577,3.954174091973952,5.283507848896042,-2.1094247312933394
window_stats,0,missing_slice,missing_dynamic,1877,4.9776095795263045,6.054219587039616,-1.5582762653673972
window_stats,1,fms_bin,0-5,13179,2.978114866334794,3.779185512950302,2.7805157038011123
window_stats,1,fms_bin,5-10,13820,2.342652232481326,2.845916453244924,0.22529864537215613
