model,fold,slice_type,slice_value,window_count,mae,rmse,bias
dynamic,0,fms_bin,0-5,11791,2.3040458587262176,3.0660827558907258,1.9453453942191843
dynamic,0,fms_bin,5-10,13072,2.3244078721431616,2.7743942147380696,-0.3843976950462146
dynamic,0,fms_bin,10-15,7645,4.572739293491084,5.244621093514461,-4.570548889331368
dynamic,0,fms_bin,15-20,5946,10.131258957130598,10.467050818663044,-10.131258957130598
dynamic,0,missing_slice,complete_dynamic,36577,3.916965142367859,5.23981073129623,-2.046255367748081
dynamic,0,missing_slice,missing_dynamic,1877,5.050553047599854,6.060545169124811,-1.2912672127442724
dynamic,1,fms_bin,0-5,13179,2.9564700858674984,3.7549427636741712,2.7734519080355367
dynamic,1,fms_bin,5-10,13820,2.2745688436587925,2.78063326981048,0.2621438360178652
dynamic,1,fms_bin,10-15,5788,4.301689851599145,5.04823581297697,-4.26493585605043
dynamic,1,fms_bin,15-20,5716,9.12931669988859,9.411021649210813,-9.12931669988859
dynamic,1,missing_slice,complete_dynamic,36568,3.761049624300598,4.911428150609305,-1.1051635442503747
dynamic,1,missing_slice,missing_dynamic,1935,5.139614024396399,5.7659789155055865,1.922040312419566
dynamic,2,fms_bin,0-5,16880,3.102057522831935,3.935219328673179,2.9116071619058106
dynamic,2,fms_bin,5-10,12919,2.344909935181554,2.7238737380009765,0.7079180971471986
dynamic,2,fms_bin,10-15,5197,3.524247594721069,4.228513491255882,-3.4618298690870035
dynamic,2,fms_bin,15-20,3365,8.18484190512908,8.493678691732704,-8.18484190512908
dynamic,2,missing_slice,complete_dynamic,36448,3.287056693960966,4.1808667630755645,0.25307522737196236
dynamic,2,missing_slice,missing_dynamic,1913,4.55174480765762,5.4027970492288135,1.8485698182733659
dynamic,3,fms_bin,0-5,14824,3.385812790385868,3.9564134823275574,3.2785242543034596
dynamic,3,fms_bin,5-10,14221,2.077655180785762,2.4723440161707506,0.799197817196005
dynamic,3,fms_bin,10-15,5931,3.4069663035369127,4.008739085883861,-3.3797194916127484
dynamic,3,fms_bin,15-20,3527,7.384975523457907,7.575418658787002,-7.384975523457907
dynamic,3,missing_slice,complete_dynamic,36895,3.197312405198986,3.9078484082648313,0.4465823324885144
dynamic,3,missing_slice,missing_dynamic,1608,4.991484924335385,5.754616018046978,-1.6183734011294237
dynamic,4,fms_bin,0-5,11863,2.6359184248812393,3.417141001462664,2.3748142042354377
dynamic,4,fms_bin,5-10,12509,2.2037461680109307,2.6665344610586836,-0.5831763960628956
dynamic,4,fms_bin,10-15,7800,4.705237071070916,5.292532271264952,-4.705237071070916
dynamic,4,fms_bin,15-20,6226,9.717616737425002,9.97045014380746,-9.717616737425002
dynamic,4,missing_slice,complete_dynamic,36743,3.9549572331804446,5.155926314330505,-1.8820452271196388
dynamic,4,missing_slice,missing_dynamic,1655,6.478730170892445,7.296778435437884,-4.334305628404876
dynamic,0,fms_bin,0-5,10371,2.782366101507993,3.47987792588052,2.559899069996007
dynamic,0,fms_bin,5-10,12902,2.2455168806652823,2.6879732469197166,-0.0060611538389194405
dynamic,0,fms_bin,10-15,7655,4.250476710255982,4.966630945607077,-4.237275225301726
dynamic,0,fms_bin,15-20,5970,9.834456705887314,10.15335244900697,-9.834456705887314
dynamic,0,missing_slice,complete_dynamic,34329,3.9774077761363893,5.214512890624026,-1.8215090766027793
dynamic,0,missing_slice,missing_dynamic,2569,4.879817764598509,5.90711399681152,-0.8357146925014853
dynamic,1,fms_bin,0-5,11806,2.9958878578159056,3.718016034926672,2.880076694292637
dynamic,1,fms_bin,5-10,13617,2.1563553636081245,2.6507326001084515,0.08262330252947223
dynamic,1,fms_bin,10-15,5796,4.6390514862566175,5.2796712841554045,-4.629031073901059
dynamic,1,fms_bin,15-20,5728,9.538822629723136,9.815290369049983,-9.538822629723136
dynamic,1,missing_slice,complete_dynamic,34418,3.8797975848803676,5.079813411634828,-1.448801680085785
dynamic,1,missing_slice,missing_dynamic,2529,5.031232976121552,5.7679848556888516,1.3933899016095603
dynamic,2,fms_bin,0-5,15297,3.381481862866178,4.136395603856084,3.303430471535936
dynamic,2,fms_bin,5-10,12911,2.3376309583876083,2.7372249822865675,0.7603692431812199
dynamic,2,fms_bin,10-15,5200,3.5238768368042432,4.218905685679365,-3.4635147846203584
dynamic,2,fms_bin,15-20,3377,8.115707290183167,8.417381130790453,-8.115707290183167
