variant,fold,window_count,window_mae,window_rmse,window_bias,session_macro_mae,raw_pa_id_group_macro_mae,train_time_seconds,inference_latency_ms_per_window,parameter_count
dynamic,0,38454,3.9722973444305953,5.282832936265342,-2.0094032127852124,4.007300612263072,4.799945567320341,17.740646451711655,0.00036762165206081446,5921
dynamic,1,38503,3.8303305144698157,4.957890684193386,-0.9530289193469559,3.84819934181817,3.9580631247352804,11.789375968277454,0.00037216620516709544,5921
dynamic,2,38361,3.3501246108948752,4.25013337629372,0.33263991943928034,3.351435563852735,3.9655393262311494,11.764654338359833,0.000183922382251416,5921
dynamic,3,38503,3.272242395349658,4.002063394921,0.3603436285003149,3.2767297716612487,3.8681676338741986,11.560743600130081,0.000227101738724192,5921
dynamic,4,38398,4.063734883368302,5.266177774080369,-1.9877406009445013,4.068786764043702,4.850548643894973,14.951969265937805,0.00022432596442960092,5921
multitask,0,38454,4.040008204199349,5.343319948872155,-2.0610447336014825,4.054896274359288,4.7947068098658905,27.707080155611038,0.0008248219365057289,6996
multitask,1,38503,3.8671573495849696,5.004644790673544,-1.0687051237332301,3.8769746058649703,4.008535334571452,21.888031855225563,0.00035342877769960635,6996
multitask,2,38361,3.445432863857049,4.303990235246539,0.660454305513028,3.446397844745872,4.183814149728041,30.20309069752693,0.0010878612909316766,6996
multitask,3,38503,3.182006963526395,3.930566233436143,0.10418917594028938,3.187172274647069,3.7979356361916268,28.605628333985806,0.0004264161381985161,6996
multitask,4,38398,4.040129546947085,5.243283478719369,-2.0080391467440295,4.045016833762563,4.747496142326706,28.242444843053818,0.001054152375217825,6996
