model,fold,slice_type,slice_value,window_count,mae,rmse,bias
dynamic,0,fms_bin,0-5,11791,2.3040458587262176,3.0660827558907258,1.9453453942191843
dynamic,0,fms_bin,5-10,13072,2.3244078721431616,2.7743942147380696,-0.3843976950462146
dynamic,0,fms_bin,10-15,7645,4.572739293491084,5.244621093514461,-4.570548889331368
dynamic,0,fms_bin,15-20,5946,10.131258957130598,10.467050818663044,-10.131258957130598
dynamic,0,missing_slice,complete_dynamic,36577,3.916965142367859,5.23981073129623,-2.046255367748081
dynamic,0,missing_slice,missing_dynamic,1877,5.050553047599854,6.060545169124811,-1.2912672127442724
dynamic,1,fms_bin,0-5,13179,2.9564700858674984,3.7549427636741712,2.7734519080355367
dynamic,1,fms_bin,5-10,13820,2.2745688436587925,2.78063326981048,0.2621438360178652
dynamic,1,fms_bin,10-15,5788,4.301689851599145,5.04823581297697,-4.26493585605043
dynamic,1,fms_bin,15-20,5716,9.12931669988859,9.411021649210813,-9.12931669988859
dynamic,1,missing_slice,complete_dynamic,36568,3.761049624300598,4.911428150609305,-1.1051635442503747
dynamic,1,missing_slice,missing_dynamic,1935,5.139614024396399,5.7659789155055865,1.922040312419566
dynamic,2,fms_bin,0-5,16880,3.102057522831935,3.935219328673179,2.9116071619058106
dynamic,2,fms_bin,5-10,12919,2.344909935181554,2.7238737380009765,0.7079180971471986
dynamic,2,fms_bin,10-15,5197,3.524247594721069,4.228513491255882,-3.4618298690870035
dynamic,2,fms_bin,15-20,3365,8.18484190512908,8.493678691732704,-8.18484190512908
dynamic,2,missing_slice,complete_dynamic,36448,3.287056693960966,4.1808667630755645,0.25307522737196236
dynamic,2,missing_slice,missing_dynamic,1913,4.55174480765762,5.4027970492288135,1.8485698182733659
dynamic,3,fms_bin,0-5,14824,3.385812790385868,3.9564134823275574,3.2785242543034596
dynamic,3,fms_bin,5-10,14221,2.077655180785762,2.4723440161707506,0.799197817196005
dynamic,3,fms_bin,10-15,5931,3.4069663035369127,4.008739085883861,-3.3797194916127484
dynamic,3,fms_bin,15-20,3527,7.384975523457907,7.575418658787002,-7.384975523457907
dynamic,3,missing_slice,complete_dynamic,36895,3.197312405198986,3.9078484082648313,0.4465823324885144
dynamic,3,missing_slice,missing_dynamic,1608,4.991484924335385,5.754616018046978,-1.6183734011294237
dynamic,4,fms_bin,0-5,11863,2.6359184248812393,3.417141001462664,2.3748142042354377
dynamic,4,fms_bin,5-10,12509,2.2037461680109307,2.6665344610586836,-0.5831763960628956
dynamic,4,fms_bin,10-15,7800,4.705237071070916,5.292532271264952,-4.705237071070916
dynamic,4,fms_bin,15-20,6226,9.717616737425002,9.97045014380746,-9.717616737425002
dynamic,4,missing_slice,complete_dynamic,36743,3.9549572331804446,5.155926314330505,-1.8820452271196388
dynamic,4,missing_slice,missing_dynamic,1655,6.478730170892445,7.296778435437884,-4.334305628404876
multitask,0,fms_bin,0-5,11791,2.3724936157523113,3.118595776372923,1.929246563033772
multitask,0,fms_bin,5-10,13072,2.3882955709880394,2.8698349564891297,-0.46586900602027576
multitask,0,fms_bin,10-15,7645,4.690513783089081,5.365316129383176,-4.65816809400536
multitask,0,fms_bin,15-20,5946,10.141544851206627,10.499577085542523,-10.141544851206627
multitask,0,missing_slice,complete_dynamic,36577,3.9898950617262283,5.308541870568009,-2.11845804732383
multitask,0,missing_slice,missing_dynamic,1877,5.016560368418503,5.980805356884365,-0.9422345172869886
multitask,1,fms_bin,0-5,13179,2.910901939091475,3.669626227775315,2.706821670872062
multitask,1,fms_bin,5-10,13820,2.3109847757474733,2.8440262191462358,0.11492408878033827
multitask,1,fms_bin,10-15,5788,4.464515682327887,5.219631486466058,-4.43224787160126
multitask,1,fms_bin,15-20,5716,9.229523513932758,9.51426500191544,-9.229523513932758
multitask,1,missing_slice,complete_dynamic,36568,3.809190987669432,4.966434531836194,-1.2126487718279357
multitask,1,missing_slice,missing_dynamic,1935,4.962616741071992,5.678611934271282,1.6515694620689372
multitask,2,fms_bin,0-5,16880,3.413100672276664,4.203193245245838,3.290117431428478
multitask,2,fms_bin,5-10,12919,2.372701753306033,2.8229829200450847,0.9767972700818606
multitask,2,fms_bin,10-15,5197,3.396223965621531,4.073907738653102,-3.187750186419198
multitask,2,fms_bin,15-20,3365,7.802080487992399,8.14409707865292,-7.802080487992399
multitask,2,missing_slice,complete_dynamic,36448,3.3832064198446155,4.233350639051242,0.5838515412952028
