model,fold,slice_type,slice_value,window_count,mae,rmse,bias
static_only,0,fms_bin,0-5,11791,3.589794433750822,4.132836595755028,3.4922522261249695
static_only,0,fms_bin,5-10,13072,1.8385176621423065,2.345896099646905,-1.0946157114304411
static_only,0,fms_bin,10-15,7645,5.652339408193405,6.227430250428777,-5.62992245772058
static_only,0,fms_bin,15-20,5946,10.530628272511123,10.759477594862844,-10.530628272511123
static_only,0,missing_slice,complete_dynamic,36577,4.426313211023767,5.647315612948434,-1.9290947546819301
static_only,0,missing_slice,missing_dynamic,1877,5.48021375186658,6.987281535989686,-4.383081852532348
static_only,1,fms_bin,0-5,13179,5.957583886247926,6.7543336860591365,5.905524153368943
static_only,1,fms_bin,5-10,13820,2.6011549910312106,3.75733154891738,1.7027462608044814
static_only,1,fms_bin,10-15,5788,3.7531610495811836,4.404695648764807,-1.202120319760579
static_only,1,fms_bin,15-20,5716,5.135192783417779,6.425843369787065,-4.566367418720974
static_only,1,missing_slice,complete_dynamic,36568,4.2789241132695,5.40676415338034,2.002218200214528
static_only,1,missing_slice,missing_dynamic,1935,4.685954079517098,6.2532640545662606,-2.540303658946232
static_only,2,fms_bin,0-5,16880,4.363396849988196,4.726887445770477,4.363268413786639
static_only,2,fms_bin,5-10,12919,1.3629735669758272,1.7935205593140817,0.034227063942088444
static_only,2,fms_bin,10-15,5197,4.709089971813579,5.033910850898411,-4.608579620664478
static_only,2,fms_bin,15-20,3365,9.590410078510665,9.77366807511157,-9.590410078510665
static_only,2,missing_slice,complete_dynamic,36448,3.816555138948824,4.705212336055377,0.5626397415982515
static_only,2,missing_slice,missing_dynamic,1913,4.653143299978189,5.825700021434924,-1.3776587771920714
static_only,3,fms_bin,0-5,14824,4.219489500417107,4.832135239130146,4.197787826761194
static_only,3,fms_bin,5-10,14221,1.840217037229764,2.3263638205710357,-0.294776206411865
static_only,3,fms_bin,10-15,5931,4.6360748429218805,5.111749190846631,-4.542770375893502
static_only,3,fms_bin,15-20,3527,9.602563764476425,9.932075610149688,-9.602563764476425
static_only,3,missing_slice,complete_dynamic,36895,3.760023000696226,4.697276635784953,0.16236002725998486
static_only,3,missing_slice,missing_dynamic,1608,7.063552562573656,8.343247473092536,-5.451301237540458
static_only,4,fms_bin,0-5,11863,3.568088480084318,4.224032733793621,3.562800139748989
static_only,4,fms_bin,5-10,12509,1.9731877888694676,2.5687514370795395,-1.0359873372937232
static_only,4,fms_bin,10-15,7800,5.927715548185202,6.264599940053812,-5.727501904597649
static_only,4,fms_bin,15-20,6226,10.349559865884753,10.855345744478944,-10.3457560171623
static_only,4,missing_slice,complete_dynamic,36743,4.502883823157441,5.751001752259329,-1.902136757653932
static_only,4,missing_slice,missing_dynamic,1655,7.392096904397371,8.4703871251367,-5.97622264447169
