experiment_id,stage,model,input_features,static_features,window_seconds,loss,missing_strategy,auxiliary_tasks,prediction_file,selector_column,selector_value,split_hash,parameter_count,checkpoint
stage1_10s_mean_fms,1,mean_fms,train-fold FMS mean,none,10,closed-form baseline,zero after train-fold standardization + mask excluded from model,none,D:\27340\Git\OpenRDW\shared\data\exports\stage1\predictions\ryu_kim_dynamic_baseline\predictions_10s.csv,model,mean_fms,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,1,
stage1_10s_ridge_window_stats,1,ridge_window_stats,dynamic summary/lag features,none,10,closed-form baseline,zero after train-fold standardization + mask excluded from model,none,D:\27340\Git\OpenRDW\shared\data\exports\stage1\predictions\ryu_kim_dynamic_baseline\predictions_10s.csv,model,ridge_window_stats,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,37,
stage1_10s_causal_tcn_linear,1,causal_tcn_linear,dynamic summary/lag features,none,10,closed-form baseline,zero after train-fold standardization + mask excluded from model,none,D:\27340\Git\OpenRDW\shared\data\exports\stage1\predictions\ryu_kim_dynamic_baseline\predictions_10s.csv,model,causal_tcn_linear,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,97,
stage1_30s_mean_fms,1,mean_fms,train-fold FMS mean,none,30,closed-form baseline,zero after train-fold standardization + mask excluded from model,none,D:\27340\Git\OpenRDW\shared\data\exports\stage1\predictions\ryu_kim_dynamic_baseline\predictions_30s.csv,model,mean_fms,e8db5f68f0f21d9ac01c53391383ef44dec0cabbbdc28e5fcbfe23e4e120cd73,1,
stage1_30s_ridge_window_stats,1,ridge_window_stats,dynamic summary/lag features,none,30,closed-form baseline,zero after train-fold standardization + mask excluded from model,none,D:\27340\Git\OpenRDW\shared\data\exports\stage1\predictions\ryu_kim_dynamic_baseline\predictions_30s.csv,model,ridge_window_stats,e8db5f68f0f21d9ac01c53391383ef44dec0cabbbdc28e5fcbfe23e4e120cd73,37,
stage1_30s_causal_tcn_linear,1,causal_tcn_linear,dynamic summary/lag features,none,30,closed-form baseline,zero after train-fold standardization + mask excluded from model,none,D:\27340\Git\OpenRDW\shared\data\exports\stage1\predictions\ryu_kim_dynamic_baseline\predictions_30s.csv,model,causal_tcn_linear,e8db5f68f0f21d9ac01c53391383ef44dec0cabbbdc28e5fcbfe23e4e120cd73,97,
stage1_60s_mean_fms,1,mean_fms,train-fold FMS mean,none,60,closed-form baseline,zero after train-fold standardization + mask excluded from model,none,D:\27340\Git\OpenRDW\shared\data\exports\stage1\predictions\ryu_kim_dynamic_baseline\predictions_60s.csv,model,mean_fms,a0b3eeab3f779bc6e2996b66278052c7771cdd07acf9096085ea383578421005,1,
stage1_60s_ridge_window_stats,1,ridge_window_stats,dynamic summary/lag features,none,60,closed-form baseline,zero after train-fold standardization + mask excluded from model,none,D:\27340\Git\OpenRDW\shared\data\exports\stage1\predictions\ryu_kim_dynamic_baseline\predictions_60s.csv,model,ridge_window_stats,a0b3eeab3f779bc6e2996b66278052c7771cdd07acf9096085ea383578421005,37,
stage1_60s_causal_tcn_linear,1,causal_tcn_linear,dynamic summary/lag features,none,60,closed-form baseline,zero after train-fold standardization + mask excluded from model,none,D:\27340\Git\OpenRDW\shared\data\exports\stage1\predictions\ryu_kim_dynamic_baseline\predictions_60s.csv,model,causal_tcn_linear,a0b3eeab3f779bc6e2996b66278052c7771cdd07acf9096085ea383578421005,97,
stage2_10s_lstm,2,lstm,six-axis dynamic sequence + missing masks,none,10,MSE,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage2\predictions\ryu_kim_sequence_models_10s\predictions_10s_sequence_models.csv,model,lstm,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,
