experiment_id,stage,model,input_features,static_features,window_seconds,loss,missing_strategy,auxiliary_tasks,prediction_file,selector_column,selector_value,split_hash,parameter_count,checkpoint,n,mae,rmse,r2,pearson_r,spearman_r,bias,smape,session_uid_macro_mae,session_uid_macro_rmse,session_uid_macro_r2,session_uid_macro_normalized_dtw,session_uid_count,raw_pa_id_macro_mae,raw_pa_id_macro_rmse,raw_pa_id_macro_r2,raw_pa_id_macro_normalized_dtw,raw_pa_id_count,fms_ge_10_auprc,fms_ge_10_precision,fms_ge_10_recall,fms_ge_10_f1,fms_ge_15_auprc,fms_ge_15_precision,fms_ge_15_recall,fms_ge_15_f1,mae_fold_mean,mae_fold_std,rmse_fold_mean,rmse_fold_std,r2_fold_mean,r2_fold_std,pearson_r_fold_mean,pearson_r_fold_std,spearman_r_fold_mean,spearman_r_fold_std,bias_fold_mean,bias_fold_std,paired_vs_selected_paired_sessions,paired_vs_selected_mean_diff,paired_vs_selected_ci_low,paired_vs_selected_ci_high,paired_vs_selected_improved_fraction,train_time_seconds_mean,inference_latency_ms_per_window_mean,peak_gpu_memory_mb_mean,parameter_count_resource
stage1_10s_mean_fms,1,mean_fms,train-fold FMS mean,none,10,closed-form baseline,zero after train-fold standardization + mask excluded from model,none,D:\27340\Git\OpenRDW\shared\data\exports\stage1\predictions\ryu_kim_dynamic_baseline\predictions_10s.csv,model,mean_fms,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,1,,192219,4.37615098338574,5.3809044776072,-0.010737165805679627,-0.13821510121623337,-0.12588452770259775,-4.713899814606507e-05,0.7294009839877164,4.38849611720589,5.042297109486352,-2.1753986322826666,4.38849611720589,428,4.77235550729632,5.5144039073691005,-1.8982791448414922,nan,86,0.4057102076909691,0.0,0.0,0.0,0.24868352684288994,0.0,0.0,0.0,4.376246740520409,0.21659878897958215,5.37099887930165,0.3652070570336041,-0.032289609089429086,0.022014314987713023,2.4768061523309234e-14,3.923414748224403e-14,nan,0.0,0.00014259861271017637,1.0339987142422065,428,0.8167411338354662,0.6526922958785683,0.9826453139133937,0.2616822429906542,0.0023997947573661804,3.7651505263056596e-05,,1
stage1_10s_ridge_window_stats,1,ridge_window_stats,dynamic summary/lag features,none,10,closed-form baseline,zero after train-fold standardization + mask excluded from model,none,D:\27340\Git\OpenRDW\shared\data\exports\stage1\predictions\ryu_kim_dynamic_baseline\predictions_10s.csv,model,ridge_window_stats,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,37,,192219,3.8584942511211606,4.764744330313802,0.20748612502877006,0.4559419501185532,0.4549704444860964,0.004401000572711458,0.7002519153557619,3.867928561174698,4.398123203182703,-2.1050231338729355,3.5738584158399926,428,4.325882105946399,5.0237752761347005,-2.2203330689387837,nan,86,0.4527777183645624,0.5021711501800467,0.16595789363154304,0.24947056889181196,0.22760360349166076,0.10126582278481013,0.0003228410008071025,0.0006436300736151896,3.8585588590484527,0.21084500347104543,4.752691123124467,0.37954610675755135,0.19266471855010003,0.02786581456527444,0.4742571857109942,0.026553156323721783,0.47522580910302226,0.02900921938961949,0.004601803625668222,1.0348300489645914,428,0.2961735778042785,0.13069591673124534,0.4590471643089449,0.3901869158878505,20.975803990662097,0.0022657953316722913,,37
stage1_10s_causal_tcn_linear,1,causal_tcn_linear,dynamic summary/lag features,none,10,closed-form baseline,zero after train-fold standardization + mask excluded from model,none,D:\27340\Git\OpenRDW\shared\data\exports\stage1\predictions\ryu_kim_dynamic_baseline\predictions_10s.csv,model,causal_tcn_linear,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,97,,192219,3.8561507008559395,4.7626380791867176,0.20818663031725426,0.456713152854804,0.456970436158707,0.00443701851697947,0.7000913285358147,3.865584154005121,4.395481793218919,-2.1047106064167673,3.573720835687246,428,4.323983870140117,5.022492135100879,-2.2258427718728777,nan,86,0.45315846276103033,0.5026374090093891,0.16676291979489333,0.2504369308400899,0.22799502409293537,0.09333333333333334,0.0002824858757062147,0.0005632669483001409,3.8562153040731175,0.21099488435473468,4.750571325927369,0.37968009988876555,0.19338482544920058,0.02810406360789983,0.4749889751310873,0.026679538088778723,0.4772881739063661,0.029301453767357325,0.004637549089629989,1.0343775820979642,428,0.2938291706346975,0.12853526154294506,0.4570160794373347,0.3878504672897196,129.6125316441059,0.00515639077582228,,97
stage1_30s_mean_fms,1,mean_fms,train-fold FMS mean,none,30,closed-form baseline,zero after train-fold standardization + mask excluded from model,none,D:\27340\Git\OpenRDW\shared\data\exports\stage1\predictions\ryu_kim_dynamic_baseline\predictions_30s.csv,model,mean_fms,e8db5f68f0f21d9ac01c53391383ef44dec0cabbbdc28e5fcbfe23e4e120cd73,1,,176467,4.330441043876046,5.302238060508341,-0.007754401843103942,-0.11729727214971744,-0.10776905510729598,9.877201104217757e-05,0.6604302588854084,4.335442407355519,4.936852680412679,-3.5839524685478588,4.335442407355519,428,4.7260391705790665,5.423564810094687,-4.462632021238029,nan,86,0.43367626077613125,0.0,0.0,0.0,0.25435082344943805,0.0,0.0,0.0,4.3303875881798035,0.2557621822459185,5.290724206568649,0.38918933905807324,-0.022521577325311792,0.02155444702498681,3.153118044474792e-15,3.48786694961971e-14,nan,0.0,-0.00029796088867213854,0.865532248079192,428,0.763687423985098,0.5923476546202945,0.9360624676341157,0.2827102803738318,0.0021524280309677124,4.278622249268801e-05,,1
stage1_30s_ridge_window_stats,1,ridge_window_stats,dynamic summary/lag features,none,30,closed-form baseline,zero after train-fold standardization + mask excluded from model,none,D:\27340\Git\OpenRDW\shared\data\exports\stage1\predictions\ryu_kim_dynamic_baseline\predictions_30s.csv,model,ridge_window_stats,e8db5f68f0f21d9ac01c53391383ef44dec0cabbbdc28e5fcbfe23e4e120cd73,37,,176467,3.892586949699839,4.791270665374694,0.17711779824019291,0.4218234711438285,0.42416382281453757,-0.0013462627002051469,0.6293065951618871,3.894225122795083,4.374010021668491,-3.8446387185515163,3.672078989096533,428,4.3727268280294505,5.0209533535933835,-5.73538875811926,nan,86,0.4682502114959421,0.5242876803099037,0.18034223998877902,0.26837127388950494,0.24677841319203048,0.0,0.0,0.0,3.892494247113851,0.2706801491374772,4.778539327222041,0.3883625120251541,0.1658251073799647,0.044898370526356986,0.4370079332901858,0.05352499036256414,0.44006790942526486,0.0571179062842596,-0.0017455297224587662,0.8737264221865925,428,0.3224701394246588,0.14379129136541194,0.4964084857489381,0.411214953271028,19.50472643971443,0.002301110542854421,,37
stage1_30s_causal_tcn_linear,1,causal_tcn_linear,dynamic summary/lag features,none,30,closed-form baseline,zero after train-fold standardization + mask excluded from model,none,D:\27340\Git\OpenRDW\shared\data\exports\stage1\predictions\ryu_kim_dynamic_baseline\predictions_30s.csv,model,causal_tcn_linear,e8db5f68f0f21d9ac01c53391383ef44dec0cabbbdc28e5fcbfe23e4e120cd73,97,,176467,3.8923755546561627,4.790904977228833,0.1772434044954102,0.4219961175559186,0.4248690882604889,-0.0016343756809920668,0.6293224691701755,3.893979716126555,4.373716567676425,-3.844094786560883,3.6685133373996934,428,4.37257590678306,5.020676292041028,-5.73098289432992,nan,86,0.4684446448016155,0.5246360862388074,0.1838838628234799,0.2723200955509107,0.24691909524005334,0.0,0.0,0.0,3.8922829958605645,0.2708871295873587,4.778173728313947,0.3883484061474374,0.16596151973622597,0.044694891372075746,0.4371773325770798,0.05325110205298786,0.4408127939907753,0.05671843720584195,-0.002034450745462141,0.8739071803259106,428,0.3222247327561298,0.1438309741956513,0.4963283979893106,0.4135514018691589,119.67444497942924,0.0052174306587602515,,97
stage1_60s_mean_fms,1,mean_fms,train-fold FMS mean,none,60,closed-form baseline,zero after train-fold standardization + mask excluded from model,none,D:\27340\Git\OpenRDW\shared\data\exports\stage1\predictions\ryu_kim_dynamic_baseline\predictions_60s.csv,model,mean_fms,a0b3eeab3f779bc6e2996b66278052c7771cdd07acf9096085ea383578421005,1,,152325,4.395718503441028,5.34394972855414,-0.017623354394693758,-0.1769429497612811,-0.16229819184695948,0.00014726179960786932,0.6208416197611498,4.392348818397477,4.942987039387857,-18.558359863018218,4.392348818397477,428,4.756963851392385,5.435361011876907,-75.40252781934288,nan,86,0.4341322935971649,0.0,0.0,0.0,0.22195872370698677,0.0,0.0,0.0,4.395670716107399,0.38116929610231937,5.321546348208287,0.5458582793490204,-0.060233925880240326,0.07099146292000674,-1.870330395576094e-15,2.1058782658670484e-14,nan,0.0,-0.00044946260039128717,1.3098421187293536,428,0.8205938350270567,0.6352551363397303,1.0016748965660354,0.26635514018691586,0.0018518313765525818,4.056908633626947e-05,,1
stage1_60s_ridge_window_stats,1,ridge_window_stats,dynamic summary/lag features,none,60,closed-form baseline,zero after train-fold standardization + mask excluded from model,none,D:\27340\Git\OpenRDW\shared\data\exports\stage1\predictions\ryu_kim_dynamic_baseline\predictions_60s.csv,model,ridge_window_stats,a0b3eeab3f779bc6e2996b66278052c7771cdd07acf9096085ea383578421005,37,,152325,4.041134415969106,4.948545004338118,0.1273956251282563,0.35963812228921993,0.3471049026240245,0.005893007252005212,0.5938844279429052,4.036457641537978,4.493766882949538,-16.791514742053277,3.8068697168880807,428,4.460390645705086,5.106755206846644,-67.47689789334916,nan,86,0.46653505061095707,0.5093771706413521,0.16285439336738472,0.24680278214045323,0.23342485255361994,0.0,0.0,0.0,4.040769935986017,0.42091377152712894,4.921498601362787,0.5741702268424599,0.09517544352502505,0.06117528473880855,0.3990874750576143,0.06268266118762007,0.39076471027704185,0.06509199040850291,0.005249545348063956,1.3471701619923528,428,0.46470265816755396,0.27389984230889547,0.6499882242263368,0.40420560747663553,16.8204407453537,0.002299320513692239,,37
stage1_60s_causal_tcn_linear,1,causal_tcn_linear,dynamic summary/lag features,none,60,closed-form baseline,zero after train-fold standardization + mask excluded from model,none,D:\27340\Git\OpenRDW\shared\data\exports\stage1\predictions\ryu_kim_dynamic_baseline\predictions_60s.csv,model,causal_tcn_linear,a0b3eeab3f779bc6e2996b66278052c7771cdd07acf9096085ea383578421005,97,,152325,4.039377626307908,4.946359402115775,0.12816625362387635,0.3608103621534786,0.3502207894786816,0.005713254303572028,0.5937941398488104,4.034744312642096,4.491963823609395,-16.664427879675525,3.797691351750768,428,4.46014998451322,5.104154046974899,-66.82018789443259,nan,86,0.4679895420437669,0.5077669902912622,0.17421718854097268,0.25942460317460314,0.23483068325934373,0.0,0.0,0.0,4.0390062409900365,0.42344292119392674,4.919248679700768,0.5746299288732526,0.09597933737036257,0.06185706943279826,0.4001726206591686,0.06296691728211036,0.3928985158936455,0.0642305307461567,0.005067391657745901,1.3473133460086917,428,0.46298932927167463,0.2730310436791568,0.6489661770306026,0.40654205607476634,103.60542467981577,0.0051855735800788285,,97
stage2_10s_lstm,2,lstm,six-axis dynamic sequence + missing masks,none,10,MSE,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage2\predictions\ryu_kim_sequence_models_10s\predictions_10s_sequence_models.csv,model,lstm,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,,192219,3.733831172822174,4.660235997385534,0.24187033442795658,0.49388302618770924,0.5018139084804564,-0.09315429850871283,0.7007792094448879,3.743363635109243,4.257855128196092,-2.0782174295287428,3.4146032806552395,428,4.268171900286339,4.949640982198557,-2.4861134122296273,nan,86,0.45969591596007614,0.5178329133553015,0.18701107786003046,0.27478560499890714,0.23331227996134465,0.0,0.0,0.0,3.7339339841262373,0.25986879396457974,4.6455590912286455,0.4144038712792245,0.22905137749945198,0.04409447850431676,0.5134670881022989,0.030181679076233887,0.5247481540564077,0.034047423062016705,-0.09281778718853831,1.0658021376352664,428,0.17160865173881873,-0.0006705290897564742,0.3352409862076878,0.45560747663551404,20.66190786510706,0.0019414894165366008,222.1078125,5921
