experiment_id,train_time_seconds_mean,inference_latency_ms_per_window_mean,peak_gpu_memory_mb_mean,parameter_count_resource
stage1_10s_causal_tcn_linear,129.6125316441059,0.00515639077582228,,97
stage1_10s_mean_fms,0.0023997947573661804,3.7651505263056596e-05,,1
stage1_10s_ridge_window_stats,20.975803990662097,0.0022657953316722913,,37
stage1_30s_causal_tcn_linear,119.67444497942924,0.0052174306587602515,,97
stage1_30s_mean_fms,0.0021524280309677124,4.278622249268801e-05,,1
stage1_30s_ridge_window_stats,19.50472643971443,0.002301110542854421,,37
stage1_60s_causal_tcn_linear,103.60542467981577,0.0051855735800788285,,97
stage1_60s_mean_fms,0.0018518313765525818,4.056908633626947e-05,,1
stage1_60s_ridge_window_stats,16.8204407453537,0.002299320513692239,,37
stage2_10s_causal_tcn,34.86030846238136,0.004987871146492036,205.33681640625,17153
stage2_10s_lstm,20.66190786510706,0.0019414894165366008,222.1078125,5921
stage3_high_multitask_high_fms_lstm,24.022204035520552,0.0019246555226758583,222.70244140625,5954
stage3_high_standard_huber_lstm,16.237995223701,0.0019162350312252237,222.69609375,5921
stage3_high_weighted_huber_lstm,19.28005364537239,0.002194889403479599,222.4919921875,5921
stage3_missing_ffill_mask_lstm,19.897216080129148,0.002280287179082626,222.4919921875,5921
stage3_missing_ffill_mask_time_lstm,15.531649380922318,0.0015572066068378688,311.37099609375,6689
stage3_missing_zero_mask_lstm,20.951131029427053,0.0022329818178614177,222.69609375,5921
stage4_dose_cumulative_dose,7.651376686990261,8.566249299363311e-05,,929
stage4_dose_local_sequence,13.197358126938344,0.00040443902819564984,,5921
stage4_dose_sequence_plus_dose,18.290554113686085,0.00032976725755799383,,6849
stage4_dose_window_stats,8.94044468998909,0.00016065840964297494,,1729
stage4_multitask_dynamic,13.561477924883366,0.00027502758852662376,,5921
stage4_multitask_multitask,27.329255177080633,0.0007493361037106706,,6996
stage4_static_cumulative_dose,8.008977979421616,9.821493240299198e-05,,929
stage4_static_dynamic,13.885942646861077,0.0003201617175367837,,5921
stage4_static_static_dose,7.645546071231365,0.00011730971841180868,,1153
stage4_static_static_dynamic,16.705419139564036,0.00035433300812865267,,6721
stage4_static_static_dynamic_dose,15.148602743446826,0.00022772034521960772,,7073
stage4_static_static_only,8.184183256328106,0.00010146571982802097,,801
