experiment_id,slice_type,slice_value,n,mae,rmse,r2,pearson_r,spearman_r,bias,smape
stage1_10s_mean_fms,fms_bin,0-5,68537,5.305082215493866,5.486969564908646,-14.56844769471761,0.011406086513386135,0.00951186228408895,5.305082215493866,1.3303813358019099
stage1_10s_mean_fms,fms_bin,5-10,66541,1.1883812146462742,1.3713660544204105,-0.21005152348100764,-0.03808873312972893,-0.02289790634412888,0.5245696766474692,0.18471752429721297
stage1_10s_mean_fms,fms_bin,10-15,32361,4.511298585089312,4.698613993302319,-11.98868339933279,0.016004593465270226,0.014711711520162889,-4.511298585089312,0.48708519686841806
stage1_10s_mean_fms,fms_bin,15-20,24780,10.190425268610833,10.365650366511835,-30.146458245657403,-0.19328048329449712,-0.1609341321243247,-10.190425268610833,0.8462683328973624
stage1_10s_mean_fms,missing_slice,complete_dynamic,183231,4.325122798617673,5.307652984742553,-0.011837275419102511,-0.13971876104049655,-0.12645949067630718,0.15137946215661216,0.7342177235935761
stage1_10s_mean_fms,missing_slice,missing_dynamic,8988,5.416420823537887,6.701906501356912,-0.28096700848660383,-0.1315105378776488,-0.14686538910857602,-3.0870573254878004,0.6312060557827209
stage1_10s_ridge_window_stats,fms_bin,0-5,68537,3.8233638662585623,4.426969494123749,-9.134288604866157,0.2910669524330482,0.24005317343417693,3.8068354451980024,1.197516310167156
stage1_10s_ridge_window_stats,fms_bin,5-10,66541,2.336455908457251,2.7674188303844156,-3.927729454890202,0.10363225353790853,0.10031997744884674,0.9119345829490778,0.34855063094196825
stage1_10s_ridge_window_stats,fms_bin,10-15,32361,3.55657655480638,4.292821390732369,-9.842045716675624,0.04069938950504697,0.04179500972508757,-3.450901807815555,0.3958036081305729
stage1_10s_ridge_window_stats,fms_bin,15-20,24780,8.437027064557936,8.79032288835854,-21.398823773825555,0.10766372469491878,0.07036056171555735,-8.437027064557936,0.6669103902994422
stage1_10s_ridge_window_stats,missing_slice,complete_dynamic,183231,3.79872730699757,4.695001239527864,0.20827008412535486,0.45698160190887177,0.4556875137772582,0.048696388873166796,0.7061639546808595
stage1_10s_ridge_window_stats,missing_slice,missing_dynamic,8988,5.07691402623325,6.0127040872552335,-0.03105273049412216,0.14748078668864625,0.12290566262661563,-0.8986128282747662,0.5797280081932644
stage1_10s_causal_tcn_linear,fms_bin,0-5,68537,3.818675377984071,4.424176169998321,-9.121503596112154,0.29211656913212314,0.2441266692632776,3.801810448550933,1.1971567154750082
stage1_10s_causal_tcn_linear,fms_bin,5-10,66541,2.3389696151684127,2.7702353532104445,-3.9377648893544777,0.10356583624908909,0.10032973344594574,0.9131545582741613,0.3489461074103491
stage1_10s_causal_tcn_linear,fms_bin,10-15,32361,3.5516712804968242,4.289868707661907,-9.827136121185799,0.0405486509992672,0.041753948542258196,-3.4468080466077713,0.3952375095263232
stage1_10s_causal_tcn_linear,fms_bin,15-20,24780,8.431471578525683,8.784856926373845,-21.370976547733946,0.1080171335175373,0.07067441021808377,-8.431471578525683,0.6663366138959571
stage1_10s_causal_tcn_linear,missing_slice,complete_dynamic,183231,3.7964937008873343,4.693171515475407,0.2088870658532188,0.45766695760783005,0.45776098779759916,0.04855295826449456,0.7060132262609362
stage1_10s_causal_tcn_linear,missing_slice,missing_dynamic,8988,5.072329134460951,6.006133673162132,-0.02880058507384331,0.15024284635598315,0.124896781934832,-0.8949185395467645,0.5793664462403254
stage1_30s_mean_fms,fms_bin,0-5,54715,5.561695852596138,5.727589204491388,-16.811811204463766,-0.015214423919955701,-0.016198556326803882,5.561695852596138,1.275032874113903
stage1_30s_mean_fms,fms_bin,5-10,64716,1.393590742976854,1.6236902934942234,-0.6885918383295522,-0.07599583816642458,-0.07785799427786093,1.0104668709356572,0.21199093588823065
stage1_30s_mean_fms,fms_bin,10-15,32173,3.995455314597407,4.20497035150634,-9.449161466652024,-0.009016641911508853,-0.015144402806978718,-3.995455314597407,0.41869269138483084
stage1_30s_mean_fms,fms_bin,15-20,24863,9.698682731636936,9.879443493798401,-27.197311554713796,-0.10032289925163336,-0.08772824765044991,-9.698682731636936,0.7879546885195924
stage1_30s_mean_fms,missing_slice,complete_dynamic,162974,4.254575347894935,5.203899219852393,-0.00828173365646978,-0.10371909142821904,-0.09340086791591912,0.17787194944493928,0.661783761299989
stage1_30s_mean_fms,missing_slice,missing_dynamic,13493,5.2467781028553215,6.3712381852938575,-0.1436862268453054,-0.25094008047700983,-0.26181822693691303,-2.1471187347791347,0.6440821003951469
stage1_30s_ridge_window_stats,fms_bin,0-5,54715,4.172190352700521,4.767350088572816,-11.340093496645606,0.23811423830284864,0.2138008961112694,4.168813534521621,1.1375427623955794
stage1_30s_ridge_window_stats,fms_bin,5-10,64716,2.3169741755381335,2.7577470567870943,-3.871101245275467,0.09637507400907198,0.09347503313077325,1.2045566515650685,0.3314294849625936
stage1_30s_ridge_window_stats,fms_bin,10-15,32173,3.2799304069601396,4.013116332442616,-8.517416225015417,0.04656046440624148,0.050683118128332705,-3.2053910846529727,0.3583008171694984
stage1_30s_ridge_window_stats,fms_bin,15-20,24863,8.17122810511255,8.501905473828373,-19.88215350106061,0.13728750025198685,0.11363321016546309,-8.17122810511255,0.6368817899820203
stage1_30s_ridge_window_stats,missing_slice,complete_dynamic,162974,3.803587477256662,4.697289458762637,0.17847876924241513,0.42331306024481063,0.42621436227801346,-0.010452686025998168,0.6317505290032612
stage1_30s_ridge_window_stats,missing_slice,missing_dynamic,13493,4.967559159138301,5.807508354618544,0.04974777533203323,0.23006628605970142,0.15883990117243768,0.10864486122319345,0.5997877577007616
stage1_30s_causal_tcn_linear,fms_bin,0-5,54715,4.170069920264373,4.76559143194272,-11.330990752373825,0.23830278483148654,0.21463215902218288,4.166443290223124,1.1373006488237296
stage1_30s_causal_tcn_linear,fms_bin,5-10,64716,2.3191276150521682,2.7600040733957036,-3.8790777965308587,0.09631823088762267,0.09390065332746761,1.2045292876936249,0.3317258239083477
stage1_30s_causal_tcn_linear,fms_bin,10-15,32173,3.279739353257637,4.013874851857043,-8.521014340110685,0.046627107754431504,0.05121030838622819,-3.2045793370857134,0.35833986366658893
stage1_30s_causal_tcn_linear,fms_bin,15-20,24863,8.169036092513927,8.500242712429863,-19.87398623938443,0.13754046540845621,0.11408934157755132,-8.169036092513927,0.636705398096089
stage1_30s_causal_tcn_linear,missing_slice,complete_dynamic,162974,3.8033968067660977,4.696975454003144,0.1785885997975173,0.423474444535018,0.4270453856986602,-0.01017667688936725,0.6317586660454353
stage1_30s_causal_tcn_linear,missing_slice,missing_dynamic,13493,4.9670974444240095,5.806630245871967,0.05003511429239427,0.23059785366449811,0.15995979906453606,0.10154304943824885,0.5998970819657782
stage1_60s_mean_fms,fms_bin,0-5,40584,5.979888336393967,6.13276165086965,-19.89493091300943,0.0030329432406025953,0.006376656873771275,5.979888336393967,1.2736512367736437
